indicators,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_harmonized,ids
The number of capacity building activities mandated by Resolutions and Decisions that are fully funded,CITES,NA,Governance,Nature-Based Funding,NA,NA,the number of capacity building activities mandated by resolutions and decisions that are fully funded,CITES_2_3_1_27
The number of Parties funded by international financial mechanisms and other related institutions to develop activities that include CITES-related conservation and sustainable development elements,CITES,NA,Governance,Nature-Based Funding,Governance,National/International Cooperation,the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,CITES_3_1_1_28
The number of countries and institutions that have provided additional funding from CITES Authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the Convention,CITES,NA,Governance,Nature-Based Funding,Governance,National/International Cooperation,the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,CITES_3_1_2_29
The number of Parties that have been involved in CITES awareness raising activities to bring about better awareness by the wider public and relevant user groups of the Convention requirements,CITES,NA,Governance,Nature-Based Funding,Knowledge Systems,Specific Information On Human-Nature Relationship,the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements,CITES_3_2_1_30
The number of visits to the CITES website,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA,the number of visits to the cites website,CITES_3_2_2_31
The number of Parties with web pages on CITES and its requirements,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA,the number of parties with web pages on cites and its requirements,CITES_3_2_3_32
"The number of Parties which report that they have achieved synergies in their implementation of CITES, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",CITES,NA,Governance,Nature-Based Legislation,NA,NA,"the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",CITES_3_3_1_33
"The number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate CITES requirements",CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,Governance,Nature-Based Legislation,"the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements",CITES_3_3_2_34
The number of Parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund CITES workshops and other training and capacity-building activities,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,Governance,National/International Cooperation,the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,CITES_3_3_3_35
The conservation status of species listed on the CITES Appendices has stabilized or improved,CITES,NA,Biodiversity,Change In Biodiversity,NA,NA,the conservation status of species listed on the cites appendices has stabilized or improved,CITES_3_4_1_36
The number of Parties incorporating CITES into their National Biodiversity Strategy and Action Plan (NBSAP),CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap),CITES_3_4_2_37
The number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,CITES,NA,Governance,Nature-Based Legislation,Governance,National/International Cooperation,the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,CITES_3_5_1_38
The number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,CITES,NA,Governance,Nature-Based Legislation,Governance,National/International Cooperation,the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,CITES_3_5_2_39
Trends in awareness and attitudes to migratory species,CMS,NA,Knowledge Systems,Information On Biodiversity,Biodiversity,State Of Biodiversity,trends in awareness and attitudes to migratory species,SPMS_1_1
Trends in integration of migratory species values in national and sectoral policies,CMS,NA,Governance,Nature-Based Legislation,Knowledge Systems,Information On Biodiversity,trends in integration of migratory species values in national and sectoral policies,SPMS_2_2
Status of migratory species in trade,CMS,NA,Knowledge Systems,Information On Biodiversity,Ecosystem Services,Specific Monetary Valuation Of Nature Contribution,status of migratory species in trade,SPMS_5_1_3
Wild Commodities Index (migratory species),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,wild commodities index (migratory species),SPMS_5_2_4
Proportion of migratory fish stocks in safe biological limits,CMS,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,Biodiversity,State Of Biodiversity,proportion of migratory fish stocks in safe biological limits,SPMS_6_5
Trends in threats to migratory species,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,trends in threats to migratory species,SPMS_7_6
Red List Index (migratory species),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,red list index (migratory species),SPMS_8_1_7
Red List Index (CMS-listed bird species),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,red list index (cms-listed bird species),SPMS_8_1_1_8
Red List Index (migratory bird species),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,red list index (migratory bird species),SPMS_8_1_2_9
Red List Index (CMS-listed bird and mammal species),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,red list index (cms-listed bird and mammal species),SPMS_8_1_3_10
Living Planet Index (migratory species),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,living planet index (migratory species),SPMS_8_2_11
Wild Bird Index (migratory birds),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,wild bird index (migratory birds),SPMS_8_3_12
Trends in distribution of migratory species,CMS,NA,Biodiversity,Change In Biodiversity,Knowledge Systems,Information On Biodiversity,trends in distribution of migratory species,SPMS_8_4_13
"Trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",CMS,NA,Biodiversity,Change In Biodiversity,Knowledge Systems,Information On Biodiversity,"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",SPMS_10_1_14
Coverage of key habitats for migratory species in protected areas,CMS,NA,Ecosystems,Area Conservation,Governance,Nature-Based Legislation,coverage of key habitats for migratory species in protected areas,SPMS_10_2_15
Trends in protected area coverage of each Key Biodiversity Area identified for CMS-listed bird and mammal species,CMS,NA,Ecosystems,Change In Ecosystems,Governance,Nature-Based Legislation,trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,SPMS_10_2_1_16
Trends in protected area coverage of each Key Biodiversity Area identified for migratory bird and mammal species,CMS,NA,Ecosystems,Change In Ecosystems,Governance,Nature-Based Legislation,trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,SPMS_10_2_2_17
Management effectiveness of areas protected specifically for migratory species.,CMS,NA,Biodiversity,Change In Biodiversity,Governance,Nature-Based Legislation,management effectiveness of areas protected specifically for migratory species,SPMS_10_3_18
Trends in delivery of ecosystem services directly dependent on migratory species,CMS,NA,Ecosystems,Change In Ecosystems,Governance,Nature-Based Legislation,trends in delivery of ecosystem services directly dependent on migratory species,SPMS_11_19
Trends in genetic diversity of selected species,CMS,NA,Biodiversity,Change In Biodiversity,Biodiversity,Genetic Diversity,trends in genetic diversity of selected species,SPMS_12_20
Trends in integration of migratory species concerns in National Biodiversity Strategies and Action Plans,CMS,NA,Biodiversity,Change In Biodiversity,Governance,Nature-Based Legislation,trends in integration of migratory species concerns in national biodiversity strategies and action plans,SPMS_13_21
"Trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the Strategic Plan for Migratory Species",CMS,NA,Knowledge Systems,Specific Information On Ilk And Iplc,Knowledge Systems,Information On Society And Socio-Economics,"trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the strategic plan for migratory species",SPMS_14_22
Number of validated publications on migratory species conservation actively disseminated for policy-relevant use,CMS,NA,Knowledge Systems,Information On Biodiversity,NA,NA,number of validated publications on migratory species conservation actively disseminated for policy-relevant use,SPMS_15_23
"Aggregated international flows of funding, per annum, for achieving the goals of the Strategic Plan for Migratory Species.",CMS,NA,Governance,Nature-Based Legislation,NA,NA,"aggregated international flows of funding, per annum, for achieving the goals of the strategic plan for migratory species",SPMS_16_24
"Amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the Strategic Plan for Migratory Species.",CMS,NA,Governance,Nature-Based Legislation,NA,NA,"amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the strategic plan for migratory species",SPMS_16_25
The recognition of combating wildlife crime as a high priority for national law enforcement agencies.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the recognition of combating wildlife crime as a high priority for national law enforcement agencies,ICCWC_1_1
The recognition of wildlife crime involving organized criminal groups as serious crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the recognition of wildlife crime involving organized criminal groups as serious crime,ICCWC_1_2
The existence of a national enforcement strategy and/or action plan for wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the existence of a national enforcement strategy and/or action plan for wildlife crime,ICCWC_1_3
The extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime,ICCWC_1_4
The extent of international cooperation to combat wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent of international cooperation to combat wildlife crime,ICCWC_1_5
The extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime,ICCWC_1_6
The extent to which proactive investigations are used to target prominent and emerging wildlife crime threats.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which proactive investigations are used to target prominent and emerging wildlife crime threats,ICCWC_1_7
The level of staff resources in national law enforcement agencies to combat wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the level of staff resources in national law enforcement agencies to combat wildlife crime,ICCWC_1_8
The extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime,ICCWC_1_9
The extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime,ICCWC_2_10
Participation in multi-disciplinary enforcement operations targeting wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,participation in multi-disciplinary enforcement operations targeting wildlife crime,ICCWC_2_11
The extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime,ICCWC_2_12
"The extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime.",ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,"the extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime",ICCWC_2_13
The extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate,ICCWC_2_14
"The adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens.",ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,"the adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens",ICCWC_2_15
The number (and type) of seizures of specimens of illicitly-traded wildlife.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the number (and type) of seizures of specimens of illicitly-traded wildlife,ICCWC_2_16
The number (and type) of large-scale seizures of specimens of illicitly-traded wildlife.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the number (and type) of large-scale seizures of specimens of illicitly-traded wildlife,ICCWC_2_17
The capacity of national law enforcement agencies to investigate wildlife crime cases.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the capacity of national law enforcement agencies to investigate wildlife crime cases,ICCWC_3_18
The extent of national procedures and systems to collate information on wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent of national procedures and systems to collate information on wildlife crime,ICCWC_3_19
The extent to which information on wildlife crime is verified and analyzed to generate intelligence.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which information on wildlife crime is verified and analyzed to generate intelligence,ICCWC_3_20
The extent to which criminal intelligence is used to support investigations into wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which criminal intelligence is used to support investigations into wildlife crime,ICCWC_3_21
The extent to which follow-up investigations are conducted for wildlife crime cases.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which follow-up investigations are conducted for wildlife crime cases,ICCWC_3_22
The percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data,ICCWC_3_23
The existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime,ICCWC_4_24
The use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime,ICCWC_4_25
The capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations,ICCWC_4_26
The capacity of national law enforcement agencies to conduct financial investigations to support the investigation and prosecution of wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the capacity of national law enforcement agencies to conduct financial investigations to support the investigation and prosecution of wildlife crime,ICCWC_4_27
"The comprehensiveness of national legislative provisions for wildlife conservation, management and use, including international trade in protected species of wildlife.",ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,"the comprehensiveness of national legislative provisions for wildlife conservation, management and use, including international trade in protected species of wildlife",ICCWC_5_28
The category in which CITES implementation legislation has been placed under the CITES National Legislation Project.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the category in which cites implementation legislation has been placed under the cites national legislation project,ICCWC_5_29
The extent to which national provisions for international cooperation in criminal matters are applied to wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which national provisions for international cooperation in criminal matters are applied to wildlife crime,ICCWC_5_30
The existence of provisions against corruption in national legislation that can be used in the investigation and prosecution of wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the existence of provisions against corruption in national legislation that can be used in the investigation and prosecution of wildlife crime,ICCWC_5_31
The existence of national legislation for organized crime that can be used in the investigation and prosecution of wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the existence of national legislation for organized crime that can be used in the investigation and prosecution of wildlife crime,ICCWC_5_32
The extent to which a combination of relevant national legislation and criminal law is used to prosecute wildlife crime in support of legislation enacted to combat wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which a combination of relevant national legislation and criminal law is used to prosecute wildlife crime in support of legislation enacted to combat wildlife crime,ICCWC_6_33
The capacity of national law enforcement agencies to prepare wildlife crime case files and give evidence in court.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the capacity of national law enforcement agencies to prepare wildlife crime case files and give evidence in court,ICCWC_6_34
The percentage of wildlife crime cases that were prosecuted in court.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the percentage of wildlife crime cases that were prosecuted in court,ICCWC_6_35
The percentage of wildlife crime cases that were resolved with administrative penalties.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the percentage of wildlife crime cases that were resolved with administrative penalties,ICCWC_6_36
The capacity of prosecutors to manage wildlife crime cases.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the capacity of prosecutors to manage wildlife crime cases,ICCWC_6_37
The existence of national guidelines for the prosecution of wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the existence of national guidelines for the prosecution of wildlife crime,ICCWC_6_38
The percentage of wildlife crime cases that were brought to trial which resulted in convictions.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the percentage of wildlife crime cases that were brought to trial which resulted in convictions,ICCWC_6_39
The extent to which national legislation penalizes wildlife crime offences in a manner that reflects the nature and severity of the crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which national legislation penalizes wildlife crime offences in a manner that reflects the nature and severity of the crime,ICCWC_7_40
The existence of national guidelines for the sentencing of offenders convicted with wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the existence of national guidelines for the sentencing of offenders convicted with wildlife crime,ICCWC_7_41
The extent of awareness of wildlife crime among the judiciary and the appropriateness of the verdicts handed down.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent of awareness of wildlife crime among the judiciary and the appropriateness of the verdicts handed down,ICCWC_7_42
The existence of provisions for asset forfeiture and recovery in national legislation that can be applied to wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the existence of provisions for asset forfeiture and recovery in national legislation that can be applied to wildlife crime,ICCWC_7_43
The use of asset forfeiture and recovery legislation in wildlife crime cases.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the use of asset forfeiture and recovery legislation in wildlife crime cases,ICCWC_7_44
The extent to which the drivers of wildlife crime in the country are known and understood.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which the drivers of wildlife crime in the country are known and understood,ICCWC_8_45
The extent to which activities to address the demand of illicit wildlife products are implemented.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which activities to address the demand of illicit wildlife products are implemented,ICCWC_8_46
The extent of awareness-raising materials and/or programmes in place to increase the awareness of the regulated community of the laws that apply to the sustainable use of wildlife.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent of awareness-raising materials and/or programmes in place to increase the awareness of the regulated community of the laws that apply to the sustainable use of wildlife,ICCWC_8_47
The extent to which local communities are engaged in law enforcement activities to combat wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which local communities are engaged in law enforcement activities to combat wildlife crime,ICCWC_8_48
The extent to which livelihoods and social capacity building are considered in activities to combat wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent to which livelihoods and social capacity building are considered in activities to combat wildlife crime,ICCWC_8_49
The extent of awareness-raising materials and/or programmes in place to increase public awareness of wildlife crime.,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,the extent of awareness-raising materials and/or programmes in place to increase public awareness of wildlife crime,ICCWC_8_50
The overall conservation status of wetlands,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,the overall conservation status of wetlands,RAMSAR_A_1
Status and trends in wetland ecosystem extent,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,status and trends in wetland ecosystem extent,RAMSAR_Ai_2
Trends in conservation status – qualitative assessment,RAMSAR,NA,Ecosystems,Area Conservation,NA,NA,trends in conservation status - qualitative assessment,RAMSAR_Aii_3
The status of the ecological character of Ramsar Sites,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,the status of the ecological character of ramsar sites,RAMSAR_B_4
Trends in the status of Ramsar Site ecological character – qualitative assessment,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,trends in the status of ramsar site ecological character - qualitative assessment,RAMSAR_Bi_5
Trends in water quality,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,trends in water quality,RAMSAR_C_6
Trends in dissolved nitrate (or nitrogen) concentration,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,trends in dissolved nitrate (or nitrogen) concentration,RAMSAR_Ci_7
Trends in Biological Oxygen Demand (BOD),RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,trends in biological oxygen demand (bod),RAMSAR_Cii_8
The frequency of threats affecting Ramsar Sites,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,the frequency of threats affecting ramsar sites,RAMSAR_D_9
The frequency of threats affecting Ramsar Sites – qualitative assessment,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,the frequency of threats affecting ramsar sites - qualitative assessment,RAMSAR_Di_10
Wetland sites with successfully implemented conservation or wise use management plans,RAMSAR,NA,Ecosystems,Area Conservation,NA,NA,wetland sites with successfully implemented conservation or wise use management plans,"RAMSAR_E_11,RAMSAR_Ei_12"
Overall population trends of wetland taxa,RAMSAR,NA,Biodiversity,Change In Biodiversity,NA,NA,overall population trends of wetland taxa,RAMSAR_F_13
Trends in the status of waterbird biogeographic populations,RAMSAR,NA,Biodiversity,Change In Biodiversity,NA,NA,trends in the status of waterbird biogeographic populations,RAMSAR_Fi_14
Changes in threat status of wetland taxa,RAMSAR,NA,Biodiversity,Change In Biodiversity,NA,NA,changes in threat status of wetland taxa,RAMSAR_G_15
Trends in the status of globally-threatened wetland-dependent birds,RAMSAR,NA,Biodiversity,Change In Biodiversity,NA,NA,trends in the status of globally-threatened wetland-dependent birds,RAMSAR_Gi_16
Trends in the status of globally-threatened wetland-dependent amphibians,RAMSAR,NA,Biodiversity,Change In Biodiversity,NA,NA,trends in the status of globally-threatened wetland-dependent amphibians,RAMSAR_Gii_17
The proportion of candidate Ramsar Sites designated so far for wetland types/features,RAMSAR,NA,Ecosystems,Area Conservation,NA,NA,the proportion of candidate ramsar sites designated so far for wetland types/features,RAMSAR_H_18
Coverage of the wetland resource by designated Ramsar Sites,RAMSAR,NA,Ecosystems,Area Conservation,NA,NA,coverage of the wetland resource by designated ramsar sites,RAMSAR_Hi_19
Trends in land cover,UNCCD,NA,Ecosystems,Change In Biodiversity,NA,NA,trends in land cover,UNCCD_1_1_2
Trends in land productivity,UNCCD,NA,Ecosystems,Change In Biodiversity,NA,NA,trends in land productivity,UNCCD_1_2_3
