indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
measured concentrations of o in the upper stratospere,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystems,NA,Abiotic conditions,NA,1,geo
mechanistic models that quantify and disentangle effects of vegetation on climate and hydrological cycle,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
medicinal plants known to date and accessible for health care as a proxy for all natural medicinal products (national medicines policies),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
medicinal species as a fraction of total vascular plant species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
megafaunal range size,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
merchandise exports,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
mibid index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
migration net,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,Human well-being,Legislation/governance,Cultural diversity,1,ga
migratory birds threatened or near threatened on the iucn red list of threatened species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
millenium development goals indicators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
mobile cellular subscriptions,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
montreal protocol,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,National/international cooperation,NA,1,ga
more than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from national medicines policies and more than 70% of drugs to treat cancers derive directly from national medicines policies,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Ecosystem services,Healthy living conditions,Nature contribution,1,ga
mortality from unintentional poisoning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
mortality rate attributable to household and ambient air pollution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
mortality rate under 5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
mountain glaciers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
mountain green cover index,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems (coverage),NA,1,sua
multidimensional poverty index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
multidimensional poverty index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,sua
national accounts reflecting state of biodiversity and ecosystem services,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
national oceanic and atmospheric administration annual greenhouse gas index (aggi),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
"national recycling rate, tons of material recycled",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based legislation,NA,1,sua
native newcomer species,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
native newcomer species arrive,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
natural habitat in agriculture,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
natural habitat in agriculture pollen deposition,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
natural medicinal products and manufactured bio-derived medicines,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
nature risk index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
near- or on-farm habitat diversity,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
net carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
net greenhouse gases emissions,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Climate change,NA,1,ga
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,National/international cooperation,NA,1,sua
net primary production,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Ecosystem services,State of ecosystems,Nature contribution,1,ga
net primary production remaining in ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Ecosystem services,State of ecosystems,Nature contribution,1,ga
net primary production seaweed aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
net primary productivity in forests and on cultivated land,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
network of communication channels in times of crisis or disaster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
neutral variation (markers not linked to traits under selection),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,Genetic diversity,1,ga
new drugs production and sales,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Coverage of basic needs,NA,1,ga
new pests and invasive alien species colonize,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,Direct drivers,ILK,Invasive alien species,1,ga
nh3 emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,Direct drivers,NA,Pollution,NA,1,geo
nitrogen (n) loads,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
nitrogen + phosphate fertilizers (n+p205 total nutrients),NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
nitrogen surplus (tg n),NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
nitrogen use balance,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
nitrogen use efficiency,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
nitrogenen deposition trends,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
no emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,Direct drivers,NA,Pollution,NA,1,geo
non declining exploited species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
non-neutral variation (markers linked to traits under selection),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
normalized difference vegetation index (ndvi),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
northern hemisphere (mar-apr) snow cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
number and coverage of stocks with adaptive management systems/plans,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
number of biodiversity papers published,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
number of cites parties that have adopted standard procedures for non-detrimental findings,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA,1,sua
number of cites parties with increased capacity,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA,1,sua
number of companies publishing sustainability reports,1,1,NA,NA,NA,NA,NA,1,1,Knowledge systems,NA,Information on society and socio-economics,NA,1,sua
"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based legislation,NA,1,sua
"number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
number of countries implementing nbsaps,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
number of countries implementing the system of environmental economic accounting,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based legislation,NA,1,sua
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based legislation,NA,1,sua
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,National/international cooperation,NA,1,sua
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",1,1,NA,NA,NA,NA,NA,1,1,Human well-being,NA,Equity,NA,2,ga
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",1,1,NA,NA,NA,NA,NA,1,1,Human well-being,NA,Equity,NA,2,sua
"number of countries that have established national targets in accordance with or similar to aichi biodiversity target the strategic plan for biodiversity their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA,1,sua
"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Legislation/governance,NA,1,sua
number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Legislation/governance,NA,1,sua
number of countries that have ratified the nagoya protocol,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
number of countries using ecosystem-based approaches to managing marine areas,NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based legislation,NA,1,sua
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Legislation/governance,NA,1,sua
number of countries with developed or revised nbsaps,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
number of countries with mechanisms in place to enhance policy coherence of sustainable development,NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based legislation,NA,1,sua
"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",NA,1,NA,NA,NA,NA,NA,1,1,Human well-being,NA,Equity,NA,1,sua
number of countries with national instruments on biodiversity relevant tradable permit schemes,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"number of countries with national instruments on biodiversity-relevant taxes, charges and fees",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
number of countries with national instruments on redd plus schemes,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based legislation,NA,1,sua
number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
number of countries with regulations requiring recovered of depleted species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
number of deaths caused by extreme climatic events,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Natural drivers,NA,1,ga
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",1,1,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Natural drivers,NA,1,sua
number of extintions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
number of invasive alien species introduction events,1,NA,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Invasive alien species,NA,1,ga
number of jobs,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Coverage of basic needs,NA,1,ga
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",1,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based legislation,NA,1,sua
number of managed bee hives,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Species conservation,NA,1,ga
number of people employed in forest industry,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Coverage of basic needs,NA,1,ga
"number of people employed in garment industry (include fibre, cotton industry)",NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Coverage of basic needs,NA,1,ga
number of people living on less than 1.90 usd per day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
number of people who died or disappeared in the process of migration towards an international destinationi,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Broken governance,NA,1,sua
number of people without access to safe sanitation services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
number of photos taken by the public in an advert to indicate aesthetic values,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,Genetic resources,NA,1,sua
number of plant and animal genetic resources secured in medium or long-term conservation facilities,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,Genetic resources,NA,1,ga
number of protected area management effectiveness (pame) assessments,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,2,ga
number of protected area management effectiveness (pame) assessments,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,2,va
"number of protected areas, parks and gardens",NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,1,ga
number of publications,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
number of rare or threatened species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
number of research studies involving economic valuation,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA,1,ga
number of residents living in floodplains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
number of species,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
number of species extinctions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
number of species extinctions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ias
number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
number of traded live animals/plants listed in cites databases,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
number of undernourished people,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,1,ga
number of visitors to national parks in the eeuu,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,Human well-being,Nature contribution,Recreation,1,ga
number of vulnerable marine ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
number of wildlife pictures posted on a photo-sharing website,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
number of world natural heritage sites per country per year,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
numbers of livestock and use rate,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
numbers of scientific publications on biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
nutrient pollution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
nutrient runoff into oceans (n and p),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
nutrition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
nutrition derived from fish,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Healthy living conditions,NA,1,ga
"nutritional output (calories, nutrients)",NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Healthy living conditions,NA,1,ga
o recovery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
o3 concentration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
o3 emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
ocean acidification,1,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Pollution,NA,1,geo
ocean health index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,2,ga
ocean health index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,2,geo
ocean heat content and specific humidity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
oceanic carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
odss and ghgs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
oecd better life index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
official development assistance on conservation and sustainable use of biodiversity and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,NA,1,NA,NA,NA,NA,NA,1,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,1,sua
official development assistance provided in support of the cbd objectives,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA,1,ga
oil (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
online interest in biodiversity (proportion of google searches),NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
online interest inbiodiversity (proportion of google searches),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
opening up of forest canopy,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
organisms` size or growth,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
ornamental plants sold units (number/year or kg/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
"other living organism for assistance number, stock density (number of horse/household)",NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
output from pollinator dependent crops,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
overall species abundance,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
overdisperion/ underdispersion,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,Direct drivers,Change in biodiversity,Invasive alien species,1,ga
overexploitation of resources by outsiders and locals,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
passenger and freight volumes by mode of transport,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"passenger and freight volumes, by mode of transport",NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Infrastructure (build-up area),NA,1,sua
pearls sold units (number/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
people in proximity to parks or natural areas,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Healthy living conditions,Recreation,1,ga
people per ouletlet mcdonals,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Infrastructure (build-up area),NA,1,ga
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
per capita calorie intake,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,1,ga
per capita consumption,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
percentage change in local species richness,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
percentage of abroad land use footprint,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
percentage of agricultural and urban areas,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
percentage of countries that are category 1 cites parties,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA,1,ga
percentage of countries that have ratified the nagoya protocol,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA,1,ga
percentage of countries with invasive alien species legislation,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA,1,ga
percentage of countries with revised nbsaps,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA,1,ga
percentage of freshwater key biodiversity areas covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
percentage of global rural population with access to improved water resources,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,1,ga
percentage of live coral cover,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
percentage of marine and coastal areas covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,1,ga
percentage of marine ecoregions covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,1,ga
percentage of marine key biodiversity areas covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
percentage of modern drugs based on national medicines policies or bio-inspired molecules used for diseases at the global level,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
percentage of new drugs discovered over the last 30 years based on natural medicinal products,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
percentage of population living in dense urban areas,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
percentage of population using safely managed drinking water services,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
percentage of terrestrial domesticated animal breeds at risk,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Species conservation,NA,1,ga
percentage of terrestrial ecoregions covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,1,ga
percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
percentage of undernourished people,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
percentage of world population relying almost entirely on national medicines policies,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Ecosystem services,Healthy living conditions,Nature contribution,1,ga
"percentages of wild plant collection harvested, traded",NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,1,ga
permanent surface water extent,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
"pest, invasive or harmful species",NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Invasive alien species,NA,1,ga
pesticide use,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
pet amphibian sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
pet bird sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
pet fish sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
pet reptile sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
phenology of economically and/or culturally important wild plant and animal species,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
phenotypic variation,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
phosphorus (p) loads,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
photo series analysis using social media,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
photo-rankings,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
phylogenetic betadiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
phylogenetic diversity,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
"phylogenetic species richness (psr), clustering (psc), evenness (pse), variability (psv)",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
phylogenetic structure of a community,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
phylogenetic variation (of genes or populations within species),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
piped drinking water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
planetary pressures adjusted human development index (hdi),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
pm 10 emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
pm 2.5 emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
pm2.5 emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
polar ice sheets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
policies make adequate provisions to minimize impacts of fisheries on threatened species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
political stability and absence of violence/terrorism,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,Human well-being,Legislation/governance,Wellness,1,ga
pollinator diversity,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
