indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2,source,mea
protected area and oecm management effectiveness (mepca) indicator,GBF_T3_CY_135,GBF,1,ecosystems,Governance,Area conservation,Nature-based legislation,GBF,TRUE
protected area connectedness (parc-connectedness) index,GBF_GA_C_6;GBF_T3_C_20;GA_1_52_19,GBF;IPBES,1,ecosystems,NA,State of ecosystems (configuration),NA,GBF,TRUE
protected area connectedness (parc-connectedness) index,GBF_GA_C_6;GBF_T3_C_20;GA_1_52_19,GBF;IPBES,1,ecosystems,NA,State of ecosystems (configuration),NA,IPBES,FALSE
protected area coverage,GA_1_52_19,IPBES,0,ecosystems,NA,Area conservation,NA,IPBES,FALSE
"protected area coverage of bird, mammal and amphibian distributions",IPBES_GA3_sup_46,IPBES,0,ecosystems,biodiversity,Area conservation,State of biodiversity,IPBES,FALSE
protected area coverage of important sites for mountain biodiversity,SDG_G15.4.1_198;IPBES_SUA_sup_15.4.1_125,SDG;IPBES,1,ecosystems,biodiversity,Area conservation,State of biodiversity,SDG,TRUE
protected area coverage of important sites for mountain biodiversity,SDG_G15.4.1_198;IPBES_SUA_sup_15.4.1_125,SDG;IPBES,1,ecosystems,biodiversity,Area conservation,State of biodiversity,IPBES,FALSE
protected area coverage of important sites for terrestrial and freshwater biodiversity,SDG_G15.1.2_195;IPBES_SUA_sup_15.1.2_122,SDG;IPBES,1,ecosystems,NA,Area conservation,NA,SDG,TRUE
protected area coverage of important sites for terrestrial and freshwater biodiversity,SDG_G15.1.2_195;IPBES_SUA_sup_15.1.2_122,SDG;IPBES,1,ecosystems,NA,Area conservation,NA,IPBES,FALSE
protected area coverage of key biodiversity areas,GBF_T3_C_17;GA_1_52_19;GA_3_55_389;GA_3_72_395;IPBES_GA3_sup_43,GBF;IPBES,1,ecosystems,biodiversity,Area conservation,State of biodiversity,GBF,TRUE
protected area coverage of key biodiversity areas,GBF_T3_C_17;GA_1_52_19;GA_3_55_389;GA_3_72_395;IPBES_GA3_sup_43,GBF;IPBES,1,ecosystems,biodiversity,Area conservation,State of biodiversity,IPBES,FALSE
protected area coverage of marine and coastal areas,SDG_G14.5.1_188;GA_3_72_395;IPBES_GA3_sup_41;IPBES_SUA_sup_14.5.1_115,SDG;IPBES,1,ecosystems,ecosystems,Area conservation,State of ecosystems (marine),SDG,TRUE
protected area coverage of marine and coastal areas,SDG_G14.5.1_188;GA_3_72_395;IPBES_GA3_sup_41;IPBES_SUA_sup_14.5.1_115,SDG;IPBES,1,ecosystems,ecosystems,Area conservation,State of ecosystems (marine),IPBES,FALSE
"protected area coverage of terrestrial, marine and freshwater ecoregions",GA_1_52_19,IPBES,0,ecosystems,NA,Area conservation,NA,IPBES,FALSE
"protected area downgrading, downsizing and degazettement (pd)",GBF_T3_CY_131,GBF,1,ecosystems,NA,Change in ecosystems,NA,GBF,TRUE
protected area isolation index (pai),GBF_T3_CY_136,GBF,1,ecosystems,NA,State of ecosystems (coverage),NA,GBF,TRUE
protected area management effectiveness (pame),GBF_T3_C_18;GA_1_52_19,GBF;IPBES,1,ecosystems,Governance,Area conservation,Nature-based legislation,GBF,TRUE
protected area management effectiveness (pame),GBF_T3_C_18;GA_1_52_19,GBF;IPBES,1,ecosystems,Governance,Area conservation,Nature-based legislation,IPBES,FALSE
protected area representativeness index,GA_1_52_19,IPBES,0,ecosystems,Governance,Area conservation,Nature-based legislation,IPBES,FALSE
protected areas network metric (pronet),GBF_T3_CY_137,GBF,1,ecosystems,NA,Area conservation,NA,GBF,TRUE
protected connected (protconn) index,GBF_GA_C_5;GBF_T3_C_19,GBF,1,ecosystems,ecosystems,Area conservation,State of ecosystems (configuration),GBF,TRUE
protection of key biodiversity areas,GA_2_24_29,IPBES,0,ecosystems,NA,Area conservation,NA,IPBES,FALSE
protein intake per country per person,IPBES_GA2.1_sup_17,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
"provision of safe, reliable drinking water",GEO_9_18_80,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
proximity of people and nature,GA_2.3_42_143,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPBES,FALSE
quality and abundance of food and medicine species,SUA_2_95_77;SUA_2_96_79,IPBES,0,biodiversity,Knowledge systems,State of biodiversity,ILK,IPBES,FALSE
quality of governance index,SUA_4_61_118,IPBES,0,Governance,NA,Legislation/governance,NA,IPBES,FALSE
quantity of land area known to have (in)sufficient infrastructure against flooding,GEO_17_8_200,GEO,0,Human assets,NA,Infrastructure (build-up area),NA,GEO,FALSE
radiative forcing,IPCC_7_91_360,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
radio occultation,IPCC_2_42_69,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
rainfall,IPCC_8_42_382,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
rainfall variability,IPCC_8_77_414,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
ramsar management effectiveness tracking tool (r-mett),GBF_T3_CY_140,GBF,1,ecosystems,NA,Area conservation,Species conservation,GBF,TRUE
ramsar sites,GA_1_52_19;IPBES_GA2.1_sup_59,IPBES,0,ecosystems,NA,Area conservation,Species conservation,IPBES,FALSE
range contractions,GA_2.3_75_161,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
range-size rarity,GA_2.2_21_61,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
rate of invasive alien species establishment,GBF_T6_H_22;GBF_T4_CY_153;IAS_6_119_173,GBF;IPBES,1,Direct drivers,NA,Invasive alien species,NA,GBF,TRUE
rate of invasive alien species establishment,GBF_T6_H_22;GBF_T4_CY_153;IAS_6_119_173,GBF;IPBES,1,Direct drivers,NA,Invasive alien species,NA,IPBES,FALSE
rate of invasive alien species spread,GBF_T6_C_34,GBF,1,Direct drivers,NA,Invasive alien species,NA,GBF,TRUE
rate of invasive species impact and rate of impact,GBF_T6_C_33,GBF,1,Direct drivers,NA,Invasive alien species,NA,GBF,TRUE
rate of land use change,GA_2.3_39_137,IPBES,0,Direct drivers,ecosystems,Land conversion,Change in ecosystems,IPBES,FALSE
rate of rslr (relative sea level rise),IPCC_12_20_605,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems,IPCC,FALSE
rate of species accumulation,IAS_2_15_20,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
rate of use of pesticides,VA_3_26_59,IPBES,0,Direct drivers,NA,Pollution,NA,IPBES,FALSE
rate of wood removal,VA_3_26_59,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
ratio of land consumption rate to population growth rate,SDG_G11.3.1_145;GEO_15_17_161;GEO_15_20_171;IPBES_SUA_sup_11.3.1_79,SDG;IPBES;GEO,1,Ecosystem services,Human assets,Nature contribution,Coverage of basic needs,SDG,TRUE
ratio of land consumption rate to population growth rate,SDG_G11.3.1_145;GEO_15_17_161;GEO_15_20_171;IPBES_SUA_sup_11.3.1_79,SDG;IPBES;GEO,1,Ecosystem services,Human assets,Nature contribution,Coverage of basic needs,IPBES,FALSE
ratio of land consumption rate to population growth rate,SDG_G11.3.1_145;GEO_15_17_161;GEO_15_20_171;IPBES_SUA_sup_11.3.1_79,SDG;IPBES;GEO,1,Ecosystem services,Human assets,Nature contribution,Coverage of basic needs,GEO,FALSE
ratio of land consumption rate to urban population growth rate at comparable scale,GEO_15_21_173,GEO,0,Direct drivers,NA,Land conversion,NA,GEO,FALSE
recognition and value of forest-management knowledge and skills of local people,SUA_2_92_69,IPBES,0,Knowledge systems,NA,Specific information on ILK and IPLC,NA,IPBES,FALSE
recommended intake values for the food groups,GEO_17_12_206,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
recreation and cultural ecosystem services provided,GBF_T12_C_54,GBF,1,Human well-being,NA,Recreation,NA,GBF,TRUE
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,SDG_G10.7.1_136,SDG,1,Human assets,NA,State of economy,Income,SDG,TRUE
recycling rate,GBF_T16_CY_217,GBF,1,Knowledge systems,NA,Information on society and socio-economics,NA,GBF,TRUE
red list index,GBF_GA_H_3;GBF_T4_H_19;GBF_T2_CY_127;SDG_G15.5.1_201;GA_1_52_19;GA_2.2_37_70;GA_2.2_51_92;GA_2.2_70_120;GA_4_30_175;GA_3_40_368;GA_3_45_374;GA_3_150_436;SUA_1_1_1;SUA_1_22_10;SUA_4_70_126;SUA_4_71_127;IAS_2_48_40;IAS_4_22_102;IAS_5_52_127;GEO_6_15_50;GEO_6_16_54;IPBES_GA2.2_sup_59;IPBES_GA3_sup_50;IPBES_SUA_sup_15.5.1_127,GBF;SDG;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
red list index,GBF_GA_H_3;GBF_T4_H_19;GBF_T2_CY_127;SDG_G15.5.1_201;GA_1_52_19;GA_2.2_37_70;GA_2.2_51_92;GA_2.2_70_120;GA_4_30_175;GA_3_40_368;GA_3_45_374;GA_3_150_436;SUA_1_1_1;SUA_1_22_10;SUA_4_70_126;SUA_4_71_127;IAS_2_48_40;IAS_4_22_102;IAS_5_52_127;GEO_6_15_50;GEO_6_16_54;IPBES_GA2.2_sup_59;IPBES_GA3_sup_50;IPBES_SUA_sup_15.5.1_127,GBF;SDG;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,SDG,TRUE
red list index,GBF_GA_H_3;GBF_T4_H_19;GBF_T2_CY_127;SDG_G15.5.1_201;GA_1_52_19;GA_2.2_37_70;GA_2.2_51_92;GA_2.2_70_120;GA_4_30_175;GA_3_40_368;GA_3_45_374;GA_3_150_436;SUA_1_1_1;SUA_1_22_10;SUA_4_70_126;SUA_4_71_127;IAS_2_48_40;IAS_4_22_102;IAS_5_52_127;GEO_6_15_50;GEO_6_16_54;IPBES_GA2.2_sup_59;IPBES_GA3_sup_50;IPBES_SUA_sup_15.5.1_127,GBF;SDG;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
red list index,GBF_GA_H_3;GBF_T4_H_19;GBF_T2_CY_127;SDG_G15.5.1_201;GA_1_52_19;GA_2.2_37_70;GA_2.2_51_92;GA_2.2_70_120;GA_4_30_175;GA_3_40_368;GA_3_45_374;GA_3_150_436;SUA_1_1_1;SUA_1_22_10;SUA_4_70_126;SUA_4_71_127;IAS_2_48_40;IAS_4_22_102;IAS_5_52_127;GEO_6_15_50;GEO_6_16_54;IPBES_GA2.2_sup_59;IPBES_GA3_sup_50;IPBES_SUA_sup_15.5.1_127,GBF;SDG;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
red list index (birds and mammals),GA_3_51_382,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
red list index (for utilized species),GBF_GB_C_10;GBF_T5_C_30;GBF_T9_C_45;GA_2.2_51_92;GA_3_15_329;GEO_13_18_136;IPBES_GA2.2_sup_63;IPBES_GA3_sup_11;IPBES_GA3_sup_56,GBF;IPBES;GEO,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,GBF,TRUE
red list index (for utilized species),GBF_GB_C_10;GBF_T5_C_30;GBF_T9_C_45;GA_2.2_51_92;GA_3_15_329;GEO_13_18_136;IPBES_GA2.2_sup_63;IPBES_GA3_sup_11;IPBES_GA3_sup_56,GBF;IPBES;GEO,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,IPBES,FALSE
red list index (for utilized species),GBF_GB_C_10;GBF_T5_C_30;GBF_T9_C_45;GA_2.2_51_92;GA_3_15_329;GEO_13_18_136;IPBES_GA2.2_sup_63;IPBES_GA3_sup_11;IPBES_GA3_sup_56,GBF;IPBES;GEO,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,GEO,FALSE
red list index (forest specialists),GA_3_15_329;IPBES_GA2.2_sup_60;IPBES_GA3_sup_19,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
red list index (impacts of fisheries),GA_3_15_329;IPBES_GA3_sup_23,IPBES,0,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,IPBES,FALSE
red list index (impacts of invasive alien species),GBF_T6_CY_169;GA_3_72_395;IPBES_GA3_sup_34,GBF;IPBES,1,biodiversity,Direct drivers,State of biodiversity,Invasive alien species,GBF,TRUE
red list index (impacts of invasive alien species),GBF_T6_CY_169;GA_3_72_395;IPBES_GA3_sup_34,GBF;IPBES,1,biodiversity,Direct drivers,State of biodiversity,Invasive alien species,IPBES,FALSE
red list index (impacts of pollution),GBF_T7_C_39;GA_3_72_395;IPBES_GA3_sup_30,GBF;IPBES,1,biodiversity,Direct drivers,State of biodiversity,Pollution,GBF,TRUE
red list index (impacts of pollution),GBF_T7_C_39;GA_3_72_395;IPBES_GA3_sup_30,GBF;IPBES,1,biodiversity,Direct drivers,State of biodiversity,Pollution,IPBES,FALSE
red list index (internationally traded birds),IPBES_GA2.2_sup_61,IPBES,0,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,IPBES,FALSE
red list index (internationally traded species and migratory species),GBF_T5_CY_155,GBF,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
red list index (internationally traded species),GBF_GB_CY_89;GA_2.2_51_92;GA_3_15_329;IPBES_GA3_sup_12,GBF;IPBES,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,GBF,TRUE
red list index (internationally traded species),GBF_GB_CY_89;GA_2.2_51_92;GA_3_15_329;IPBES_GA3_sup_12,GBF;IPBES,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,IPBES,FALSE
red list index (migratory species),CMS_G3.8_12,CMS,1,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,CMS,TRUE
red list index (pollinators),GBF_GB_CY_59;GBF_T10_CY_196;GA_2.2_51_92;IPBES_GA2.2_sup_62;IPBES_GA3_sup_57,GBF;IPBES,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,GBF,TRUE
red list index (pollinators),GBF_GB_CY_59;GBF_T10_CY_196;GA_2.2_51_92;IPBES_GA2.2_sup_62;IPBES_GA3_sup_57,GBF;IPBES,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,IPBES,FALSE
red list index (vertebrate pollinators),GA_3_45_374,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
red list index (wild relatives of farmed and domesticated species),GBF_GA_CY_48;GBF_T4_CY_152;GBF_T10_CY_195;GA_2.2_51_92;IPBES_GA2.2_sup_64;IPBES_GA3_sup_54,GBF;IPBES,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,GBF,TRUE
red list index (wild relatives of farmed and domesticated species),GBF_GA_CY_48;GBF_T4_CY_152;GBF_T10_CY_195;GA_2.2_51_92;IPBES_GA2.2_sup_64;IPBES_GA3_sup_54,GBF;IPBES,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,IPBES,FALSE
red list of ecosystems,GBF_GA_H_1;GBF_T1_H_13;GBF_T3_C_21;GBF_T2_CY_128;GBF_T3_CY_145;GBF_T7_CY_177;GEO_14_16_157,GBF;GEO,1,ecosystems,NA,State of ecosystems,NA,GBF,TRUE
red list of ecosystems,GBF_GA_H_1;GBF_T1_H_13;GBF_T3_C_21;GBF_T2_CY_128;GBF_T3_CY_145;GBF_T7_CY_177;GEO_14_16_157,GBF;GEO,1,ecosystems,NA,State of ecosystems,NA,GEO,FALSE
redistributive impact of fiscal policy,SDG_G10.4.2_133,SDG,1,Human assets,Governance,Income,Legislation/governance,SDG,TRUE
reduced concentration of pollutants in water,GA_2.3_42_143,IPBES,0,Direct drivers,NA,Pollution,NA,IPBES,FALSE
reduced concentrations of greenhouse gases in the atmosphere,GA_2.3_42_143,IPBES,0,Direct drivers,NA,Pollution,NA,IPBES,FALSE
reduced concentrations of pm2.5,GA_2.3_42_143,IPBES,0,Direct drivers,NA,Pollution,NA,IPBES,FALSE
reduced cost of road construction,VA_2_76_48,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
reduced cost of road maintenance,VA_2_76_48,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
reduced food spoilage,GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
reduced hunger,GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
reduced incidence and severity of hazards,GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
reduced incidence of infectious diseases,GA_2.3_42_143,IPBES,0,Direct drivers,NA,(Infectious) diseases,NA,IPBES,FALSE
reduced incidence of water borne disease,GA_2.3_42_143,IPBES,0,Direct drivers,NA,(Infectious) diseases,NA,IPBES,FALSE
reduced malnutrition,GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
reduced morbidity and premature mortality due to natural hazards,GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
reduced net farm income loss from pests and diseases,GA_2.3_42_143,IPBES,0,Human assets,NA,Income,NA,IPBES,FALSE
reduced ocean acidification,GA_2.3_42_143,IPBES,0,Direct drivers,NA,Pollution,NA,IPBES,FALSE
reduced property loss due to natural hazards,GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
reduced risk of disease transmission,GA_2.3_42_143,IPBES,0,Direct drivers,NA,(Infectious) diseases,NA,IPBES,FALSE
reduction in climate related costs,GA_2.3_42_143,IPBES,0,Governance,NA,Legislation/governance,NA,IPBES,FALSE
reduction in post-volcanic eruption extreme precipitation,IPCC_11_50_537,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
reduction of inequality within and among countries,GEO_17_8_199,GEO,0,Human well-being,NA,Equity,NA,GEO,FALSE
reef growth,IPCC_2_67_109,IPCC,0,ecosystems,ecosystems,State of ecosystems (marine),Change in ecosystems,IPCC,FALSE
refugee population,IPBES_GA2.1_sup_25,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
regional deficit index,IPCC_12_72_695,IPCC,0,Human assets,NA,State of economy,NA,IPCC,FALSE
regional seas and action plans,GEO_14_15_152,GEO,0,Governance,NA,Nature-based legislation,NA,GEO,FALSE
relative magnitude of fragmentation (rmf),GBF_GA_CY_28,GBF,1,ecosystems,NA,State of ecosystems (integrity),NA,GBF,TRUE
relevant research funding,GA_3_49_379,IPBES,0,Governance,NA,Nature-based funding,NA,IPBES,FALSE
remaining primary vegetation,GA_2.2_37_70;IPBES_GA2.2_sup_19,IPBES,0,ecosystems,NA,State of ecosystems (coverage),NA,IPBES,FALSE
remaining primary vegetation (hotspots),IPBES_GA2.2_sup_20,IPBES,0,ecosystems,NA,State of ecosystems (coverage),NA,IPBES,FALSE
remaining primary vegetation (indigenous lands),GA_2.2_37_70;IPBES_GA2.2_sup_21,IPBES,0,ecosystems,Knowledge systems,State of ecosystems (coverage),ILK,IPBES,FALSE
remittance costs as a proportion of the amount remitted,SDG_G10.c.1_142,SDG,1,Human assets,NA,Income,State of economy,SDG,TRUE
remnant ecosystems degrade,GA_2.2_5_55,IPBES,0,Direct drivers,NA,Land conversion,NA,IPBES,FALSE
renewable electricity consumption (percentage of total electricity output),IPBES_GA2.1_sup_13,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
renewable energy share in the total final energy consumption,SDG_G7.2.1_96;IPBES_SUA_sup_7.2.1_40,SDG;IPBES,1,Human assets,Ecosystem services,Infrastructure (build-up area),Nature contribution,SDG,TRUE
renewable energy share in the total final energy consumption,SDG_G7.2.1_96;IPBES_SUA_sup_7.2.1_40,SDG;IPBES,1,Human assets,Ecosystem services,Infrastructure (build-up area),Nature contribution,IPBES,FALSE
renewable internal freshwater resource,IPBES_GA2.1_sup_57,IPBES,0,Human assets,NA,Infrastructure (build-up area),Coverage of basic needs,IPBES,FALSE
reproduction rate,GA_4_34_176,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
reproductive success,SUA_4_78_130;SUA_4_89_132,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
research and development expenditure as a proportion of gross domestic product,SDG_G9.5.1_124;IPBES_SUA_sup_9.5.1_66,SDG;IPBES,1,Knowledge systems,NA,Information on society and socio-economics,NA,SDG,TRUE
research and development expenditure as a proportion of gross domestic product,SDG_G9.5.1_124;IPBES_SUA_sup_9.5.1_66,SDG;IPBES,1,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
researchers (in full-time equivalent) per million inhabitants,SDG_G9.5.2_125,SDG,1,Knowledge systems,NA,Information on society and socio-economics,NA,SDG,TRUE
resilience of forest-dependent communities,SUA_2_92_69,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPBES,FALSE
"resources mobilized from innovative sources of finance, including from the private sector",UNCCD_SO5.4_13,UNCCD,1,Governance,NA,Nature-based funding,NA,UNCCD,TRUE
resources per capita invested in human settlement per km2,GEO_15_21_173,GEO,0,Human assets,NA,Infrastructure (build-up area),NA,GEO,FALSE
resourcing of invasive alien species prevention and control activities,IAS_6_14_142,IPBES,0,Direct drivers,Governance,Invasive alien species,Legislation/governance,IPBES,FALSE
retention and prevented emissions of air pollutants by ecosystems,GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
retention over time of indigenous ecological knowledge and practices,GA_2_25_33,IPBES,0,Knowledge systems,NA,Specific information on ILK and IPLC,NA,IPBES,FALSE
retreat of ice sheet,IPCC_9_59_445,IPCC,0,ecosystems,NA,Change in ecosystems,NA,IPCC,FALSE
revenue from bioenergy production,GA_2.3_42_143,IPBES,0,Human assets,Ecosystem services,State of economy,Nature contribution,IPBES,FALSE
revenue from forestry,GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,IPBES,FALSE
revenue generated and finance mobilized from biodiversity relevant economic instruments,SDG_G15.a.1.b_208;SDG_G15.b.1.b_210;IPBES_SUA_sup_15.a.1.b_134;IPBES_SUA_sup_15.b.1.b_136,SDG;IPBES,1,Governance,NA,Nature-based funding,NA,SDG,TRUE
revenue generated and finance mobilized from biodiversity relevant economic instruments,SDG_G15.a.1.b_208;SDG_G15.b.1.b_210;IPBES_SUA_sup_15.a.1.b_134;IPBES_SUA_sup_15.b.1.b_136,SDG;IPBES,1,Governance,NA,Nature-based funding,NA,IPBES,FALSE
river fragmentation index,GBF_GA_CY_33,GBF,1,ecosystems,NA,State of ecosystems (integrity),State of ecosystems (freshwater/coastal),GBF,TRUE
road construction,GEO_6_8_49,GEO,0,Human assets,NA,Infrastructure (build-up area),NA,GEO,FALSE
rooting depth,IPCC_12_17_599,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
rule of law index,GA_5_104_261,IPBES,0,Governance,NA,Legislation/governance,NA,IPBES,FALSE
runoff,IPCC_2_26_47,IPCC,0,Direct drivers,NA,Pollution,NA,IPCC,FALSE
safe level of annual average pm exposure,GEO_5_19_45,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
salinity,IPCC_1_70_30;IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
sanitation and hygiene,GEO_20_7_232,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
satellite formaldehyde (hcho) observations,IPCC_6_26_304,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
satellite observations of precipitation,IPCC_2_51_79,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
sea ice extent,IPCC_1_70_30;IPCC_2_26_47,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
sea ice thermodynamic,IPCC_3_45_183,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
sea level,IPCC_2_26_47;GEO_2_26_7,IPCC;GEO,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
sea level,IPCC_2_26_47;GEO_2_26_7,IPCC;GEO,0,ecosystems,NA,State of ecosystems,NA,GEO,FALSE
sea level change,IPCC_1_13_4,IPCC,0,ecosystems,NA,Change in ecosystems,NA,IPCC,FALSE
sea level pressure and winds,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
sea level rise,GEO_4_13_34,GEO,0,Direct drivers,ecosystems,Climate change,State of ecosystems (marine),GEO,FALSE
seafood availability due to ocean acidification,GA_2.3_42_143,IPBES,0,Ecosystem services,Direct drivers,Nature contribution,Pollution,IPBES,FALSE
seafood produced (kcal),GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
seagrass meadow area,GA_2.2_37_70;GA_2.2_38_74;IPBES_GA2.2_sup_22,IPBES,0,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,IPBES,FALSE
seasonal cycle of co2,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
seasonal variations in atmospheric co2 concentrations,IPCC_2_74_116,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
seasonality and thickness,IPCC_2_26_47,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
sectoral emissions density,IPCC_6_63_319,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
sediment cores,IPCC_2_63_105;IPCC_2_70_112,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
sedimentary records,IPCC_10_56_492,IPCC,0,Knowledge systems,ecosystems,Specific information on human-nature relationship,Abiotic conditions,IPCC,FALSE
september sea ice extent,IPCC_1_50_21,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
services provided by ecosystems,GBF_GB_H_5;GBF_T11_H_32,GBF,1,Ecosystem services,NA,Nature contribution,NA,GBF,TRUE
severe global bleaching events,GA_2.2_91_124,IPBES,0,ecosystems,Direct drivers,Change in ecosystems,Climate change,IPBES,FALSE
sex-disaggregated burden-of-disease data,GEO_3_10_20,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
sh monsoons,IPCC_2_51_80,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
share of low-carbon options,GEO_22_12_256,GEO,0,Human assets,NA,Information on society and socio-economics,NA,GEO,FALSE
share of main groups of species in fish trade in terms of value,SUA_2_90_65,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,IPBES,FALSE
"share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_T22_CY_258;GBF_T23_CY_266;SDG_G5.a.1.b_79;IPBES_SUA_sup_5.a.1.b_27,GBF;SDG;IPBES,1,Human well-being,NA,Equity,NA,GBF,TRUE
"share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_T22_CY_258;GBF_T23_CY_266;SDG_G5.a.1.b_79;IPBES_SUA_sup_5.a.1.b_27,GBF;SDG;IPBES,1,Human well-being,NA,Equity,NA,SDG,TRUE
"share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_T22_CY_258;GBF_T23_CY_266;SDG_G5.a.1.b_79;IPBES_SUA_sup_5.a.1.b_27,GBF;SDG;IPBES,1,Human well-being,NA,Equity,NA,IPBES,FALSE
sharing and trading institutions,SUA_2_95_77,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
ship calls,IAS_2_5_11,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
shoreline change (indicator of coastal erosion),IPCC_12_60_671,IPCC,0,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,IPCC,FALSE
