indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,indic_id,ipcc_sup,ga_sup,sua_sup,indic
cotton (t/ha),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
flax (t/ha/year)),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
jute yields (t/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
sisal yields (t/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
hemp yields (t/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
silk cocoons (t/hear),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
coral solid units (number/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
pearls sold units (number/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
shell sold units (number/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
ornamental plants sold units (number/year or kg/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
pet fish sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
pet bird sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
pet reptile sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
pet amphibian sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"other living organism for assistance number, stock density (number of horse/household)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
health benefits provide by companion animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"supply of fiber crops, resins, gum arabic",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
trade of silk,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"production of industrial roundwood, paper pulps",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
export and import of commodity data,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
export and import data,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of traded live animals/plants listed in cites databases,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
land suitability and extent of cotton producing area,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
volume of round wood production,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
tonnage of cotton production,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of people employed in forest industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"number of people employed in garment industry (include fibre, cotton industry)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
map of medicinal plants overlaying plant richness at the global level,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of new drugs discovered over the last 30 years based on natural medicinal products,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
medicinal plants known to date and accessible for health care as a proxy for all natural medicinal products (national medicines policies),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
genetic resources and especially agrodiversity known to date and its linkage to food security,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
more than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from national medicines policies and more than 70% of drugs to treat cancers derive directly from national medicines policies,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of world population relying almost entirely on national medicines policies,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of modern drugs based on national medicines policies or bio-inspired molecules used for diseases at the global level,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"percentages of wild plant collection harvested, traded",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
new drugs production and sales,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
maps showing areas where humans mostly rely national medicines policies for health,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biodiversity intactness index (for plants and vertebrates),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"care, mental health, cultural security, life-satisfaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
diversity and economic value of bioinspired production,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
areas including all uoa where people mainly rely on nature for their well being,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
recognition of ilpcs lifestyles in close interaction with nature and their access to their lands and resources,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
human mobility to access different natural habitats for outdoor recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
indirect access to natural products from natural habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
creation of new rural urban network,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
visitation rates of parks,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
people in proximity to parks or natural areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
indigenous lands,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
green space in cities,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
area of natural and traditional landscapes and seascapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"number of protected areas, parks and gardens",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"visitation rate to natural terrestrial, coastal and marine areas",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"increased awareness, care, mental health, cultural security, life-satisfaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
abundance of slowly changing ecosystems (time past last land use change),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
identity value,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
happyness,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
quantitative genetic variation,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
phenotypic variation,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
neutral variation (markers not linked to traits under selection),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
non-neutral variation (markers linked to traits under selection),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
phylogenetic variation (of genes or populations within species),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
demographic variation,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"functional diversity (fd), rarity, redundancy, vulnerability",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
community-weighted mean trait value (cwm),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
phylogenetic diversity (pd),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
overdisperion/ underdispersion,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
taxonomic diversity and distinctness,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"phylogenetic species richness (psr), clustering (psc), evenness (pse), variability (psv)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of species,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
equitability (commonness and rareness),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
species abundance distribution,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
endemism (% endemics in community),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
emergence (shannon’s information),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
genetic variation (self-organization),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
genetic variation (complexity),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
genetic variation (homeostasis),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
genetic variation (hamming distance),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
genetic variation (dissimilarity),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
genetic variation (cohesion),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"genetic variation (connectance, numbers of links by the number of nodes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
betadiversity (species turnover),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
gamma diversity (total diversity of species in a landscape),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
genetic variation (nestedness),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
phylogenetic betadiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
phylogenetic structure of a community,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
trait convergence assembly pattern (tcap),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
trait divergence assembly pattern (tdap),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
functional betadiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
loss of species,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biodiversity barometer (% of respondents that have heard of biodiversity),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biodiversity barometer (% of respondents giving correct definition of biodiversity),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
funding towards environmental education,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
online interest in biodiversity (proportion of google searches),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
funding towards environmental impact assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of research studies involving economic valuation,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
world trade organisation greenbox agricultural subsidies,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
funding towards institutional capacity building in fisheries,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of countries that are category 1 cites parties,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
human appropriation of fresh water (water footprint) (thousand km3),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
marine stewardship council certified fisheries,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
red list index (impacts of fisheries),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
global effort in bottom-trawling,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
nitrogen use balance,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
wild bird index (farmland birds),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
area of agricultural land under conservation agriculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
nitrogen surplus (tg n),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of countries with invasive alien species legislation,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
glacial mass balance,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mean polar sea ice extent,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
climatic impact index for birds,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of marine and coastal areas covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of terrestrial ecoregions covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of marine ecoregions covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"protected area coverage of bird, mammal and amphibian distributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of protected area management effectiveness (pame) assessments,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
funding towards nature reserves,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
funding towards species protection,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of terrestrial domesticated animal breeds at risk,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage change in local species richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of global rural population with access to improved water resources,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of countries that have ratified the nagoya protocol,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
percentage of countries with revised nbsaps,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of biodiversity papers published,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
funding committed to environmental research,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
funding provided by the global environment facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
official development assistance provided in support of the cbd objectives,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"global funding committed towards environmental policy, laws, regulations and economic instruments",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of people who died or disappeared in the process of migration towards an international destinationi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
degree of sustainable public procurement policies and action plan implementation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
