indicators_raw,gbf,ga,va,sua,sdg,ipbes,indicators_cleaned,indicators_harmonized,indicators_categorized,indicators_categorized2,duplicated_indicator
"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",,,,,1,,"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",broken governance,legislative arrangements,governance,FALSE
"proportion of population covered by a mobile network, by technology",,,,1,1,1,"proportion of population covered by a mobile network, by technology",wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
proportion of population exposed to air pollution.,,,1,,,1,proportion of population exposed to air pollution,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",,,,,1,,"proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",access to education,education,wellness,FALSE
proportion of population living in households with access to basic services,,,,1,1,1,proportion of population living in households with access to basic services,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,,,,1,1,1,proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,equity,equity and freedom of choice and action,wellness,FALSE
proportion of population satisfied with their last experience of public services,,,,,1,,proportion of population satisfied with their last experience of public services,information on society,scientific knowledge,scientific knowledge,FALSE
"proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months",,,,,1,,"proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months",broken governance,legislative arrangements,governance,FALSE
proportion of population that feel safe walking alone around the area they live after dark,,,,,1,,proportion of population that feel safe walking alone around the area they live after dark,broken governance,legislative arrangements,governance,FALSE
"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",,,,,1,,"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water,,,,,1,,proportion of population using safely managed sanitation services,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",1,,,,1,,"proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",equity,equity and freedom of choice and action,wellness,FALSE
proportion of population with large household expenditures on health as a share of total household expenditure or income,,,,,1,,proportion of population with large household expenditures on health as a share of total household expenditure or income,access to health,health,wellness,FALSE
proportion of population with primary reliance on clean fuels and technology,,,,1,1,1,proportion of population with primary reliance on clean fuels and technology,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
proportion of populations maintained within species,1,,,,,,proportion of populations maintained within species,state of biodiveristy,biodiversity,biodiversity,FALSE
proportion of predators,,1,,,,1,proportion of predators,state of biodiveristy,biodiversity,biodiversity,FALSE
"proportion of schools offering basic services, by type of service",,,,,1,,proportion of schools,access to education,education,wellness,FALSE
"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",,,,,1,,"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",broken governance,legislative arrangements,governance,FALSE
proportion of small-scale industries in total industry value added,,,,1,1,1,proportion of small-scale industries in total industry value added,information on socio-economics,scientific knowledge,scientific knowledge,FALSE
proportion of small-scale industries with a loan or line of credit,,,,1,1,1,proportion of small-scale industries with a loan or line of credit,information on socio-economics,scientific knowledge,scientific knowledge,FALSE
proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,,,,,1,,proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,state of economy,financial assets,financial assets,FALSE
"proportion of teachers with the minimum required qualifications, by education level",,,,,1,,proportion of teachers with the minimum required qualifications,access to education,education,wellness,FALSE
"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",,,,,1,,"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",broken governance,legislative arrangements,governance,FALSE
proportion of the rural population who live within 2 km of an all-season road,,,,1,1,1,proportion of the rural population,information on society,scientific knowledge,scientific knowledge,FALSE
proportion of the target population covered by all vaccines included in their national programme,,,,,1,,proportion of the target population covered by all vaccines included in their national programme,access to health,health,wellness,FALSE
"proportion of time spent on unpaid domestic and care work, by sex, age and location",,,,,1,,"proportion of time spent on unpaid domestic and care work, by sex, age and location",equity,equity and freedom of choice and action,wellness,FALSE
"proportion of total government spending on essential services (education, health and social protection)",,,,,1,,"proportion of total government spending on essential services (education, health and social protection)",legislation/governance,legislative arrangements,governance,FALSE
proportion of total research budget allocated to research in the field of marine technology,1,,,1,1,1,proportion of total research budget allocated to research in the field of marine technology,information on society,scientific knowledge,scientific knowledge,FALSE
proportion of traded wild species that was poached or illicitly traded,,,,1,,1,proportion of traded wildlife (poached or illicitly traded),exploitation,exploitation,direct drivers,FALSE
proportion of traded wildlife that was poached or illicitly trafficked,,,,1,1,1,proportion of traded wildlife (poached or illicitly traded),exploitation,exploitation,direct drivers,FALSE
proportion of transboundary basin area with an operational arrangement for water cooperation,1,,,1,1,1,proportion of transboundary basin area with an operational arrangement for water cooperation,national/international cooperation,legislative arrangements,governance,FALSE
"proportion of urban population living in slums, informal settlements or inadequate housing",,,,,1,,"proportion of urban population living in slums, informal settlements or inadequate housing",wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,,,,,1,,proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,broken governance,legislative arrangements,governance,FALSE
"proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,1,,"proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",information on society,scientific knowledge,scientific knowledge,FALSE
proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,,,,,1,,proportion of women aged 20–24 years who were married or in a union before age 15 and before age 19,equity,equity and freedom of choice and action,wellness,FALSE
"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,1,,"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",broken governance,legislative arrangements,governance,FALSE
proportion of women in managerial positions,,,,,1,,proportion of women in managerial positions,equity,equity and freedom of choice and action,wellness,FALSE
proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods,,,,,1,,proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods,access to health,health,wellness,FALSE
proportion of young women and men aged 18–29 years who experienced sexual violence by age 18,,,,,1,,proportion of young women and men aged 18–29 years who experienced sexual violence by age 19,broken governance,legislative arrangements,governance,FALSE
"proportion of youth (aged 15–24 years) not in education, employment or training",,,,1,1,1,"proportion of youth (aged 15–24 years) not in education, employment or training",access to education,education,wellness,FALSE
"proportion of youth and adults with information and communications technology (ict) skills, by type of skill",,,,,1,,"proportion of youth and adults with information and communications technology (ict) skills, by type of skill",access to education,education,wellness,FALSE
coverage of protected areas and oecms,1,,,,,,protected area and other effective area-based conservation measures (oecms) coverage,area conservation,ecosystems,ecosystems,FALSE
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",1,,,,,,protected area and other effective area-based conservation measures (oecms) coverage of ecoregions,area conservation,ecosystems,ecosystems,FALSE
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,1,,,,,,protected area and other effective area-based conservation measures (oecms) coverage of key biodiversity areas,area conservation,ecosystems,ecosystems,FALSE
protected area and oecm management effectiveness (mepca) indicator,1,,,,,,protected area and other effective area-based conservation measures (oecms) management effectiveness,nature-based legislation,legislative arrangements,governance,FALSE
protected area connectedness index,,1,,,,1,protected area connectedness index,state of ecosystems (connectivity),ecosystems,ecosystems,FALSE
protected area connectedness index (parc-connectedness),1,,,,1,,protected area connectedness index (parc-connectedness),state of ecosystems (connectivity),ecosystems,ecosystems,FALSE
protected connected (protconn),,,,,1,,protected connected (protconn),area conservation,ecosystems,ecosystems,FALSE
convention on biological diversity: addresses and highlights the role of protected areas for biodiversity conservation,,,,1,,1,protected area coverage,area conservation,ecosystems,ecosystems,FALSE
coverage of protected areas in relation to marine areas,,,,1,1,1,protected area coverage,area conservation,ecosystems,ecosystems,FALSE
protected area coverage,,,,,1,,protected area coverage,area conservation,ecosystems,ecosystems,FALSE
protected areas,,1,,,,1,protected area coverage,area conservation,ecosystems,ecosystems,FALSE
percentage of terrestrial areas covered by protected areas,,1,,,,1,protected area coverage (terrestrial),area conservation,ecosystems,ecosystems,FALSE
"protected area coverage of bird, mammal and amphibian distributions",,1,,,,1,"protected area coverage of bird, mammal and amphibian distributions",area conservation,ecosystems,ecosystems,FALSE
protected area coverage of ecoregions,,,,,1,,protected area coverage of ecoregions,area conservation,ecosystems,ecosystems,FALSE
percentage of freshwater key biodiversity areas covered by protected areas,,1,,,,1,protected area coverage of freshwater key biodiversity areas,area conservation,ecosystems,ecosystems,FALSE
coverage by protected areas of important sites for mountain biodiversity,,,,1,1,1,protected area coverage of key biodiversity areas,area conservation,ecosystems,ecosystems,FALSE
percentage of key biodiversity areas covered by protected areas,,1,,,,1,protected area coverage of key biodiversity areas,area conservation,ecosystems,ecosystems,FALSE
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",,,,1,1,1,protected area coverage of key biodiversity areas,area conservation,ecosystems,ecosystems,FALSE
protected area coverage of key biodiversity areas,1,1,,,1,1,protected area coverage of key biodiversity areas,area conservation,ecosystems,ecosystems,FALSE
percentage of marine and coastal areas covere by protected areas,,1,,,,1,protected area coverage of marine and coastal areas,area conservation,ecosystems,ecosystems,FALSE
percentage of marine ecoregions covered by protected areas,,1,,,,1,protected area coverage of marine ecoregions,area conservation,ecosystems,ecosystems,FALSE
percentage of terrestrial ecoregions covered by protected areas,,1,,,,1,protected area coverage of terrestrial ecoregions,area conservation,ecosystems,ecosystems,FALSE
percentage of terrestrial key biodiversity areas covered by protected areas,,1,,,,1,protected area coverage of terrestrial key biodiversity areas,area conservation,ecosystems,ecosystems,FALSE
"protected area downgrading, downsizing and degazettement (pd)",1,,,,,,"protected area downgrading, downsizing and degazettement (pd)",area conservation,ecosystems,ecosystems,FALSE
protected area isolation index (pai),1,,,,,,protected area isolation index (pai),area conservation,ecosystems,ecosystems,FALSE
number of protected area management effectiveness assessments,,1,,,,1,protected area management effectiveness,nature-based legislation,legislative arrangements,governance,FALSE
protected areas management effectiveness,1,,1,,1,1,protected area management effectiveness,nature-based legislation,legislative arrangements,governance,FALSE
protected area representativeness index (parc-representativeness),,,,,1,,protected area representativeness index (parc-representativeness),area conservation,ecosystems,ecosystems,FALSE
coverage of protected areas and oecms and traditional territories (by governance type),1,,,,,,"protected area, other effective area-based conservation measures (oecms) and traditional territories coverage",area conservation,ecosystems,ecosystems,FALSE
"local indicators of environmental change, protected areas, climate change mtigation",,1,,,,1,protected areas,area conservation,ecosystems,ecosystems,TRUE
ptotection of water-related ecosystems,,1,,,,1,protected areas (water-related ecosystems),area conservation,ecosystems,ecosystems,FALSE
protected areas network metric (pronet),1,,,,,,protected areas network metric (pronet),area conservation,ecosystems,ecosystems,FALSE
protconn,1,,,,,,protected connected (protconn),area conservation,ecosystems,ecosystems,FALSE
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",1,,,,,,"protection and promotion of culture, cultural rights and cultural diversity",cultural diversity,equity and freedom of choice and action,wellness,FALSE
protein intake per country per person,,1,,,,1,protein intake,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
psychological health indicators,,1,,,,1,psychological health problems due to natural hazards,natural drivers,natural drivers,direct drivers,FALSE
amount in united states dollars committed to public-private partnerships for infrastructure,,,,1,1,1,public-private partnerships for infrastructure,build-up area,financial assets,financial assets,FALSE
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,1,,,,,,published information on abs procedures in the abs clearing-house,genetic resources,biodiversity,biodiversity,FALSE
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",1,,,,,,published information on abs procedures in the abs clearing-house,genetic resources,biodiversity,biodiversity,FALSE
quality education,,1,,,,1,quality education,access to education,education,wellness,FALSE
area and quality of marine habitats,,1,,,,1,quality of marine habitats,state of biodiveristy,biodiversity,biodiversity,TRUE
quantify of mushrooms and truffels,,,,1,,1,quantify of mushrooms and truffels,nature contribution,ecosystem services,ecosystem services,FALSE
"quantitative (e.g. photo rankings, spatial densities of relational values in an area) and qualitative (e.g. ethnographic accounts, themes in a text representing nature's values).",,,1,,,1,"quantitative (e.g. photo rankings, spatial densities of relational values in an area) and qualitative (e.g. ethnographic accounts, themes in a text representing nature's values).",information on society,scientific knowledge,scientific knowledge,FALSE
rain-use efficiency adjusted ndvi.,,1,,,,1,rain-use efficiency,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
rainfall,,,,1,,1,,,,,FALSE
ramsar management effectiveness tracking tool (r-mett),1,,,,,,ramsar management effectiveness tracking tool (r-mett),nature-based legislation,legislative arrangements,governance,FALSE
the ramsar sites,,1,,,,1,ramsar areas,area conservation,ecosystems,ecosystems,FALSE
range contractions,,1,,,,1,range contractions,change in biodiversity,biodiversity,biodiversity,FALSE
rate of invasive alien species establishment,1,,,,,,rate of invasive species establishment,invasive alien species,"species introductions, spread and establishment",direct drivers,FALSE
rate of invasive species impact and rate of impact,1,,,,,,rate of invasive species impact,invasive alien species,"species introductions, spread and establishment",direct drivers,FALSE
rate of invasive alien species spread,1,,,,,,rate of invasive species spread,invasive alien species,"species introductions, spread and establishment",direct drivers,FALSE
ratio of land consumption rate to population growth rate,,,,1,1,1,ratio of land consumption rate to population growth rate,land conversion,land conversion,direct drivers,FALSE
re-regulating trade,,,1,,,1,re-regulating trade,nature-based legislation,legislative arrangements,governance,FALSE
"reciprocal responsibility with the goal of promoting ecosystem health, respect and integrity",,1,,,,1,"reciprocal responsibility with the goal of promoting ecosystem health, respect and integrity",information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
recognition and value of forest-management knowledge and skills of local people,,,,1,,1,recognition and value of forest-management knowledge and skills of local people,information on society,ILK,ILK,FALSE
recognition of ilpcs lifestyles in close interaction with nature and their access to their lands and resources,,1,,,,1,recognition of ilpcs lifestyles in close interaction with nature and their access to their lands and resources,ILK,ILK,ILK,FALSE
recreation and cultural ecosystem services provided,1,,,,,,recreation and cultural ecosystem services,nature contribution,ecosystem services,ecosystem services,FALSE
recreation and leisure,,1,,,,1,recreation and leisure,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
recreational value,,,,1,,1,recreational value,nature contribution,ecosystem services,ecosystem services,FALSE
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,,,,,1,,recruitment cost borne by employee as a proportion of monthly income earned in country of destination,national/international cooperation,legislative arrangements,governance,FALSE
"national recycling rate, tons of material recycled",,,,1,1,1,recycling rate,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
recycling rate,1,,,,,,recycling rate,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
international union for conservation of nature red list of threatened species,,,,1,,1,red list index,state of biodiveristy,biodiversity,biodiversity,FALSE
percentage of threatened species that are improving in status according to the red list,1,,,,,,red list index,state of biodiveristy,biodiversity,biodiversity,FALSE
red list index,1,1,,1,1,1,red list index,state of biodiveristy,biodiversity,biodiversity,FALSE
red list index (overall),,1,,,,1,red list index,state of biodiveristy,biodiversity,biodiversity,FALSE
red list index for birds and mammals,,1,,,,1,red list index,state of biodiveristy,biodiversity,biodiversity,FALSE
"red list index for wetland birds, mammals and amphibians plus corals",,1,,,,1,red list index,state of biodiveristy,biodiversity,biodiversity,FALSE
aichi biodiversity target 13: red list index (impacts of utilization/wild relatives of domesticated animals),,,,1,,1,red list index (for utilized species),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (for utilized species),1,,,,,,red list index (for utilized species),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (impacts of utilisation),,,,1,1,1,red list index (for utilized species),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (impacts of utilization),,1,,,,1,red list index (for utilized species),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (species used for food and medicine),1,1,,1,1,1,red list index (for utilized species),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (species used in food & medicine),,1,,,,1,red list index (for utilized species),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (wild species used for food and medicine),,,,1,,1,red list index (for utilized species),nature contribution,ecosystem services,ecosystem services,FALSE
rli (species used in food & medicine),,1,,,,1,red list index (for utilized species),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (forest sepecialists),,1,,,,1,red list index (forest specialists),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index (forest specialist species),,,,,1,,red list index (forest specialists),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index (forest specialists),,1,,,,1,red list index (forest specialists),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index (forest tree specialist species),,,,1,,1,red list index (forest specialists),state of biodiveristy,biodiversity,biodiversity,FALSE
rli (forest specialists),,1,,,,1,red list index (forest specialists),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index (impacts of fisheries),,1,,1,1,1,red list index (impacts of fisheries),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index (impacts of invasive alien species),1,1,,,1,1,red list index (impacts of invasive alien species),invasive alien species,"species introductions, spread and establishment",direct drivers,FALSE
red list index (impacts of pollution),1,1,,,1,1,red list index (impacts of pollution),pollution,pollution,direct drivers,FALSE
red list index (internationally traded birds),,1,,,,1,red list index (internationally traded birds),monetary nature contribution,ecosystem services,ecosystem services,FALSE
rli (internationally traded birds),,1,,,,1,red list index (internationally traded birds),monetary nature contribution,ecosystem services,ecosystem services,FALSE
red list index (for internationally traded species and for migratory species),1,,,,,,red list index (internationally traded wild species),monetary nature contribution,ecosystem services,ecosystem services,FALSE
red list index (for internationally traded species),1,,,,,,red list index (internationally traded wild species),monetary nature contribution,ecosystem services,ecosystem services,FALSE
red list index (internationally traded species),,1,,,1,1,red list index (internationally traded wild species),monetary nature contribution,ecosystem services,ecosystem services,FALSE
red list index (internationally traded wild species),,,,1,,1,red list index (internationally traded wild species),monetary nature contribution,ecosystem services,ecosystem services,FALSE
red list index (number of species listed in the appendices of the convention on international trade in endangered species of wild fauna and flora),,,,1,,1,red list index (internationally traded wild species),nature contribution,ecosystem services,ecosystem services,FALSE
the red list index for all fully assessed species where international trade has been documented,,,,1,,1,red list index (internationally traded wild species),monetary nature contribution,ecosystem services,ecosystem services,FALSE
red list index (pollinating species),1,,,,1,,red list index (pollinators),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (pollinator species),,1,,,,1,red list index (pollinators),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (pollinators),,1,,,,1,red list index (pollinators),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (vertebrate pollinators),,1,,,,1,red list index (pollinators),nature contribution,ecosystem services,ecosystem services,FALSE
rli (pollinators),,1,,,,1,red list index (pollinators),nature contribution,ecosystem services,ecosystem services,FALSE
red list index (reef-building corals),,,,,1,,red list index (reef-building corals),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index for reef-buidling corals,,1,,,,1,red list index (reef-building corals),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index for reef-building corals,,1,,,,1,red list index (reef-building corals),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index of species survival,,1,,,,1,red list index (species survival),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index (wild relatives of domesticated animals),1,,,1,1,1,red list index (wild relatives),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index (wild relatives of farmed and domesticated species),,1,,,,1,red list index (wild relatives),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index (wild relatives),,1,,,,1,red list index (wild relatives),nature contribution,ecosystem services,ecosystem services,FALSE
rli (wild relatives),,1,,,,1,red list index (wild relatives),state of biodiveristy,biodiversity,biodiversity,FALSE
red list index of ecosystems,,,,,1,,red list of ecosystems,state of ecosystems,ecosystems,ecosystems,FALSE
red list of ecosystems,1,,,,,,red list of ecosystems,state of ecosystems,ecosystems,ecosystems,FALSE
redistributive impact of fiscal policy2,,,,,1,,redistributive impact of fiscal policy,legislation/governance,legislative arrangements,governance,FALSE
reduced concentration of pollutants in water,,1,,,,1,reduced concentration of pollutants in water,pollution,pollution,direct drivers,FALSE
reduced concentrations of pm2.5,,1,,,,1,reduced concentration of pollutants in water,pollution,pollution,direct drivers,FALSE
reduced cost of road construction and maintenance and health outcomes like fewer lives lost,,,1,,,1,reduced cost of road construction,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
reduced concentration of greenhouse gases in the atmosphere,,1,,,,1,reduced greenhouse gases emissions,climate change,climate change,direct drivers,FALSE
reduced hunger,,1,,,,1,reduced hunger,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
reduced incidence and severity of hazards,,1,,,,1,reduced incidence and severity of hazards,natural drivers,natural drivers,direct drivers,FALSE
reduced incidence of infectious diseases,,1,,,,1,reduced incidence of infectious diseases,healthy living conditions,health,wellness,FALSE
reduced incidence of water borne disease,,1,,,,1,reduced incidence of water borne disease,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
reduced incidence rate of vector-borne and zoonotic diseases,,1,,,,1,reduced incidence vector-borne diseases,nature contribution,ecosystem services,ecosystem services,FALSE
reduced prevalence of vbd,,1,,,,1,reduced incidence vector-borne diseases,nature contribution,ecosystem services,ecosystem services,FALSE
reduced inequalities,,1,,,,1,reduced inequalities,equity,equity and freedom of choice and action,wellness,FALSE
reduced malnutrition,,1,,,,1,reduced malnutrition,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
reduced morbidity and premature mortality,,1,,,,1,reduced morbidity and premature mortality,nature contribution,ecosystem services,ecosystem services,FALSE
reduced net farm income loss from pests and diseases,,1,,,,1,reduced net farm income loss from pests and diseases,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
reduced ocean acidification,,1,,,,1,reduced ocean acidification,pollution,pollution,direct drivers,FALSE
reduced pesticide use,,1,,,,1,reduced pesticide use,nature contribution,ecosystem services,ecosystem services,FALSE
reduced property loss,,1,,,,1,reduced property loss,nature contribution,ecosystem services,ecosystem services,FALSE
reduced property loss due to natural hazards,,1,,,,1,reduced property loss due to natural hazards,natural drivers,natural drivers,direct drivers,FALSE
reduced risk of disease transmission,,1,,,,1,reduced risk of disease transmission,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
reduction habitat loss,,1,,,,1,reduction habitat loss,state of biodiveristy,biodiversity,biodiversity,FALSE
reduction in climate related costs,,1,,,,1,reduction in climate related costs,nature-based legislation,legislative arrangements,governance,FALSE
reef fish thermal index,,,,,1,,reef fish thermal index,state of biodiveristy,biodiversity,biodiversity,FALSE
"proportion of the population who are refugees, by country of origin",,,,1,1,1,refugee population,information on society,scientific knowledge,scientific knowledge,FALSE
refugee population,,1,,,,1,refugee population,information on society,scientific knowledge,scientific knowledge,FALSE
regional trends and the impact of management,,,,1,,1,regional trends and the impact of management,nature-based legislation,legislative arrangements,governance,FALSE
regulating contributions,,1,,,,1,regulating nature contributions,nature contribution,ecosystem services,ecosystem services,FALSE
regulating ncp,,1,,,,1,regulating nature contributions,nature contribution,ecosystem services,ecosystem services,FALSE
relative magnitude of fragmentation (rmf),1,,,,,,relative magnitude of fragmentation (rmf),state of ecosystems (connectivity),ecosystems,ecosystems,FALSE
religion,,,,1,,1,religion,information on society,scientific knowledge,scientific knowledge,FALSE
remaining primary vegetation,,1,,,,1,remaining primary vegetation,state of ecosystems,ecosystems,ecosystems,FALSE
remaining primary vegetation (hotspots),,1,,,,1,remaining primary vegetation (hotspots),state of ecosystems,ecosystems,ecosystems,FALSE
remaining primary vegetation (indigenous lands),,1,,,,1,remaining primary vegetation (indigenous lands),state of ecosystems,ecosystems,ecosystems,FALSE
remittance costs as a proportion of the amount remitted,,,,,1,,remittance costs as a proportion of the amount remitted,state of economy,financial assets,financial assets,FALSE
remote sensed vegetation,,1,,,,1,remote sensed vegetation,state of ecosystems,ecosystems,ecosystems,FALSE
installed renewable energy-generating capacity in developing countries (in watts per capita),,,,1,1,1,renewable energy capacity,nature-based funding,legislative arrangements,governance,FALSE
renewable electricity consumption (% of total electricity output),,1,,,,1,renewable energy consumption,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
renewable energy share in the total final energy consumption,,,,1,1,1,renewable energy consumption,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
renewable internal freshwater resource,,1,,,,1,renewable internal freshwater resource,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
reproductive rate,,1,,,,1,reproductive rate,state of biodiveristy,biodiversity,biodiversity,FALSE
reproductive success,,1,,1,,1,reproductive success,state of biodiveristy,biodiversity,biodiversity,FALSE
research and development expenditure as a proportion of gdp,,,,1,1,1,research and development expenditure as a proportion of gdp,information on society,scientific knowledge,scientific knowledge,FALSE
researchers (in full-time equivalent) per million inhabitants,,,,,1,,researchers (in full-time equivalent) per million inhabitants,information on society,scientific knowledge,scientific knowledge,FALSE
resilience and restoration,,1,,,,1,resilience and restoration,restoration efforts,ecosystems,ecosystems,FALSE
resilience of forest-dependent communities,,,,1,,1,resilience of forest-dependent communities,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
responsible consumption and production,,1,,,,1,responsible consumption and production,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
species threat abatement and restoration metric,1,,,,,,restoration metric,restoration efforts,ecosystems,ecosystems,TRUE
restrcited movement of people and goods,,1,,,,1,restrcited movement of people and goods,information on society,scientific knowledge,scientific knowledge,FALSE
revenue and income generation,,,,1,,1,revenue and income generation,state of economy,financial assets,financial assets,FALSE
revenue from bioenergy production,,1,,,,1,revenue from bioenergy production,state of economy,financial assets,financial assets,FALSE
revenue from forestry,,1,,,,1,revenue from forestry,state of economy,financial assets,financial assets,FALSE
(a) official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,1,1,1,revenue generated and finance mobilized from biodiversity-relevant economic instruments,nature-based legislation,legislative arrangements,governance,TRUE
revenues and costs,,,,1,,1,revenues and costs,state of economy,financial assets,financial assets,FALSE
richness of endemics (can be a poor indicator of the most effective areas for targeted species conservation),,1,,,,1,richness of endemics,state of biodiveristy,biodiversity,biodiversity,FALSE
processes and tools to monitor the implementation of a right to a healthy environment,1,,,,,,right to a healthy environment,legislation/governance,legislative arrangements,governance,FALSE
rising atmospheric co2 consentrations,,1,,,,1,rising atmospheric co2 consentrations,climate change,climate change,direct drivers,FALSE
rising sea levels,,1,,,,1,rising sea levels,climate change,climate change,direct drivers,FALSE
rising temperatures,,1,,,,1,rising temperatures,climate change,climate change,direct drivers,FALSE
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015–2030,,,,1,1,1,risk reduction strategies,nature-based legislation,legislative arrangements,governance,FALSE
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015–2030 which include biodiversity,1,,,,,,risk reduction strategies,nature-based legislation,legislative arrangements,governance,FALSE
