Goal/target,indicators_harmonized,indic_id,indicators_orig,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2
NA,the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,CITES_1_5_4_11,The number of Appendix II species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the Review of Significant Trade,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states,CITES_1_6_1_12,The number of bilateral and multilateral agreements that specifically provide for co-management of shared CITES listed species by range States,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,"the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species",CITES_1_6_2_13,"The number of cooperative management plans, including recovery plans, in place for shared populations of CITES listed species",CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,"the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species",CITES_1_6_3_14,"The number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, CITES listed, species",CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA
NA,"the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",CITES_1_7_1_15,"The number of Parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",CITES,NA,Governance,Nature-Based Legislation,Governance,National/International Cooperation
NA,"the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",CITES_1_7_2_16,"The number of Parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,"the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences",CITES_1_7_3_17,"The number of Parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing CITES offences",CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species,CITES_1_7_4_18,The number of Parties using risk assessment and intelligence to combat illegal trade in CITES-listed species,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,"the number of administrative measures, criminal prosecutions and other court actions for cites-related offences",CITES_1_7_5_19,"The number of administrative measures, criminal prosecutions and other court actions for CITES-related offences",CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,"the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement",CITES_1_8_1_20,"The number of Parties with national and regional training programmes and information resources in place to implement CITES including the making of non-detriment findings, issuance of permits and enforcement",CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA
NA,the number of parties meeting their obligations with regard to their assessed contributions to the trust fund,CITES_2_1_1_21,The number of Parties meeting their obligations with regard to their assessed contributions to the Trust Fund,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the percentage of the work programme agreed by the conference of the parties that is fully funded,CITES_2_1_2_22,The percentage of the work programme agreed by the Conference of the Parties that is fully funded,CITES,NA,Governance,Nature-Based Funding,NA,NA
NA,"the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies",CITES_2_2_1_23,"The number of Parties with dedicated staff and funding for Management Authorities, Scientific Authorities and wildlife trade enforcement agencies",CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,"the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",CITES_2_2_2_24,"The number of Parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of parties raising funds for cites implementation through user fees or other mechanisms,CITES_2_2_3_25,The number of Parties raising funds for CITES implementation through user fees or other mechanisms,CITES,NA,Governance,Nature-Based Funding,NA,NA
NA,the number of parties using incentive measures as part of their implementation of the convention,CITES_2_2_4_26,The number of Parties using incentive measures as part of their implementation of the Convention,CITES,NA,Governance,Nature-Based Funding,NA,NA
NA,the number of capacity building activities mandated by resolutions and decisions that are fully funded,CITES_2_3_1_27,The number of capacity building activities mandated by Resolutions and Decisions that are fully funded,CITES,NA,Governance,Nature-Based Funding,NA,NA
NA,the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,CITES_3_1_1_28,The number of Parties funded by international financial mechanisms and other related institutions to develop activities that include CITES-related conservation and sustainable development elements,CITES,NA,Governance,Nature-Based Funding,Governance,National/International Cooperation
NA,the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,CITES_3_1_2_29,The number of countries and institutions that have provided additional funding from CITES Authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the Convention,CITES,NA,Governance,Nature-Based Funding,Governance,National/International Cooperation
NA,the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements,CITES_3_2_1_30,The number of Parties that have been involved in CITES awareness raising activities to bring about better awareness by the wider public and relevant user groups of the Convention requirements,CITES,NA,Governance,Nature-Based Funding,Knowledge Systems,Specific Information On Human-Nature Relationship
NA,the number of visits to the cites website,CITES_3_2_2_31,The number of visits to the CITES website,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA
NA,the number of parties with web pages on cites and its requirements,CITES_3_2_3_32,The number of Parties with web pages on CITES and its requirements,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA
NA,"the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",CITES_3_3_1_33,"The number of Parties which report that they have achieved synergies in their implementation of CITES, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,"the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements",CITES_3_3_2_34,"The number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate CITES requirements",CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,Governance,Nature-Based Legislation
NA,the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,CITES_3_3_3_35,The number of Parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund CITES workshops and other training and capacity-building activities,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,Governance,National/International Cooperation
NA,the conservation status of species listed on the cites appendices has stabilized or improved,CITES_3_4_1_36,The conservation status of species listed on the CITES Appendices has stabilized or improved,CITES,NA,Biodiversity,Change In Biodiversity,NA,NA
NA,the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap),CITES_3_4_2_37,The number of Parties incorporating CITES into their National Biodiversity Strategy and Action Plan (NBSAP),CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,CITES_3_5_1_38,The number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,CITES,NA,Governance,Nature-Based Legislation,Governance,National/International Cooperation
NA,the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,CITES_3_5_2_39,The number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,CITES,NA,Governance,Nature-Based Legislation,Governance,National/International Cooperation
NA,the overall conservation status of wetlands,RAMSAR_A_1,The overall conservation status of wetlands,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA
NA,status and trends in wetland ecosystem extent,RAMSAR_Ai_2,Status and trends in wetland ecosystem extent,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA
NA,trends in conservation status - qualitative assessment,RAMSAR_Aii_3,Trends in conservation status – qualitative assessment,RAMSAR,NA,Ecosystems,Area Conservation,NA,NA
NA,the status of the ecological character of ramsar sites,RAMSAR_B_4,The status of the ecological character of Ramsar Sites,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA
NA,trends in the status of ramsar site ecological character - qualitative assessment,RAMSAR_Bi_5,Trends in the status of Ramsar Site ecological character – qualitative assessment,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA
NA,trends in water quality,RAMSAR_C_6,Trends in water quality,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
NA,trends in dissolved nitrate (or nitrogen) concentration,RAMSAR_Ci_7,Trends in dissolved nitrate (or nitrogen) concentration,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
NA,trends in biological oxygen demand (bod),RAMSAR_Cii_8,Trends in Biological Oxygen Demand (BOD),RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
NA,the frequency of threats affecting ramsar sites,RAMSAR_D_9,The frequency of threats affecting Ramsar Sites,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
NA,the frequency of threats affecting ramsar sites - qualitative assessment,RAMSAR_Di_10,The frequency of threats affecting Ramsar Sites – qualitative assessment,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
NA,wetland sites with successfully implemented conservation or wise use management plans,RAMSAR_E_11,Wetland sites with successfully implemented conservation or wise use management plans,RAMSAR,NA,Ecosystems,Area Conservation,NA,NA
NA,wetland sites with successfully implemented conservation or wise use management plans,RAMSAR_Ei_12,Wetland sites with successfully implemented conservation or wise use management plans,RAMSAR,NA,Ecosystems,Area Conservation,NA,NA
NA,overall population trends of wetland taxa,RAMSAR_F_13,Overall population trends of wetland taxa,RAMSAR,NA,Biodiversity,Change In Biodiversity,NA,NA
NA,trends in the status of waterbird biogeographic populations,RAMSAR_Fi_14,Trends in the status of waterbird biogeographic populations,RAMSAR,NA,Biodiversity,Change In Biodiversity,NA,NA
NA,changes in threat status of wetland taxa,RAMSAR_G_15,Changes in threat status of wetland taxa,RAMSAR,NA,Biodiversity,Change In Biodiversity,NA,NA
NA,trends in the status of globally-threatened wetland-dependent birds,RAMSAR_Gi_16,Trends in the status of globally-threatened wetland-dependent birds,RAMSAR,NA,Biodiversity,Change In Biodiversity,NA,NA
NA,trends in the status of globally-threatened wetland-dependent amphibians,RAMSAR_Gii_17,Trends in the status of globally-threatened wetland-dependent amphibians,RAMSAR,NA,Biodiversity,Change In Biodiversity,NA,NA
NA,the proportion of candidate ramsar sites designated so far for wetland types/features,RAMSAR_H_18,The proportion of candidate Ramsar Sites designated so far for wetland types/features,RAMSAR,NA,Ecosystems,Area Conservation,NA,NA
NA,coverage of the wetland resource by designated ramsar sites,RAMSAR_Hi_19,Coverage of the wetland resource by designated Ramsar Sites,RAMSAR,NA,Ecosystems,Area Conservation,NA,NA
