indicators_harmonized,ga,sua,va,geo,ipcc,km_gbf,sdg,ipbes,var,indic,ILK_indicators
bare area,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
area of floodplain wetlands,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
net primary productivity in forests and on cultivated land,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
cultivated area,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
above-ground biomass in forests,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
medicinal species as a fraction of total vascular plant species,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
geographical overlay of linguistic diversity and biodiversity,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
rate of land use change,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
population size,1,1,NA,NA,NA,NA,NA,1,1,NA,ILK
spatial distribution,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
animal behavior,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
phenology of economically and/or culturally important wild plant and animal species,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
distance travelled to reach a resource,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
health of the soil,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
density of preferred and palatable species,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
health of the forest,1,NA,NA,NA,NA,NA,NA,1,NA,1,ILK
encounter rates with supernatural forest dwelling entities,1,NA,NA,NA,NA,NA,NA,1,NA,1,ILK
extent of ecosystems that filter or add constituent components to water,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced concentration of pollutants in water,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
health associated with intake of pollinator dependent foods,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
natural habitat in agriculture pollen deposition,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced concentrations of pm2.5,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
avoided morbidity and premature mortality from air pollution,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
avoided costs from air pollution,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced concentrations of greenhouse gases in the atmosphere,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduction in climate related costs,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
land and ocean carbon sinks,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced ocean acidification,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
seafood availability due to ocean acidification,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extent of marine calcification benefits from coral reefs,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
soil quality impact on crop production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
ability of ecosystems to absorb and buffer hazards,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced incidence and severity of hazards,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced morbidity and premature mortality due to natural hazards,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced property loss due to natural hazards,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
natural habitat in agriculture,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced food spoilage,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced net farm income loss from pests and diseases,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
diversity of competent hosts of vector-borne diseases,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced risk of disease transmission,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced incidence of infectious diseases,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extent of agricultural land,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
production of fuelwood,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
energy security from bio-energy and fuelwood,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
food produced (kcal),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
food quality (nutrients),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced malnutrition,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
marine stocks,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reduced hunger,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
seafood produced (kcal),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
agriculture-based materials produced (tons),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
employment in materials production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
timber production (m3),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
revenue from forestry,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
fraction of species known to be medicinal,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
natural medicinal products and manufactured bio-derived medicines,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
improved health from natural medicines or bio-derived medicines,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
phylogenetic diversity,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
gene bank accession and available genetic resources,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
proximity of people and nature,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
ideas and products mimicking or inspired by nature,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
economic value of bio-inspired production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
diversity of life from which to learn,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"visitation rates to natural terrestrial, coastal, and marine areas",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"increased awareness, care, mental health, cultural security, life satisfaction - urban",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"daily exposure natural terrestrial, coastal and marine areas",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
stability of land use and land cover,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
identity value - urban,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
identity value - rural and iplc,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
visitation to natural areas,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
percentage of population living in dense urban areas,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
historic land use change since 1970,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
leaf surface area,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
net carbon sequestration,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
transfer of water to the atmosphere,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
biotic productivity,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
extent of protected and intact habitat globally,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
correlation between high cultural diversity and areas of high biodiversity,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
population extinctions,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
range contractions,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
biomass abundance,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
species distribution area and shift,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
habitat area and quality,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
organisms` size or growth,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
reproduction rate,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"pest, invasive or harmful species",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
c pool,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
global sclae ecosystem carbon storage,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
adaptive capacity index (aci),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
oecd better life index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
sustainable development goals (sdg) index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
cumulative human impacts on marine ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
average conservation status,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extent of suitable habitat index (esh),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
species area relationship,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
happy planet index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
gini index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
rule of law index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
water quality risk index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
mibid index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
commodity index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
index of sustainable economic welfare (isew),1,NA,1,NA,NA,NA,NA,1,NA,1,NA
genuine progress indicator (gpi),1,NA,1,NA,NA,NA,NA,1,NA,1,NA
funding for environmental education,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
funding for environmental impact assessments,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
world trade organisation greenbox agricultural subsidies,1,NA,NA,1,1,NA,NA,1,NA,1,NA
funding towards institutional capacity building in fisheries,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
human appropriation of fresh water,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
online interest inbiodiversity (proportion of google searches),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites),1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
growth in human appropriation of net primary production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
demand for greener products and services,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
green consumption,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
annual rate of net forest loss,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
proportion of sites in the world database on protected areas reporting shared governance,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
number of extintions,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
proportion of domesticated breeds categorized as at risk or extinct,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
extinction risk of wild relatives of domesticated or farmed birds and mammals,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
red list index (vertebrate pollinators),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
number of countries implementing nbsaps,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
numbers of scientific publications on biodiversity,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
relevant research funding,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
taxa assessed for the iucn red list of threatened species,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
species with data included in the global biodiversity information facility,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
official development assistance provided in support of the cbd objectives,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
red list index (birds and mammals),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
percentage of freshwater key biodiversity areas covered by protected areas,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
marine stewardship council engaged fisheries,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
percentage of marine key biodiversity areas covered by protected areas,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
biochemical oxygen demand (bod),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
nitrogen (n) loads,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
phosphorus (p) loads,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
total dissolved solids (tds),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
blue water sustainability index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
multidimensional poverty index,1,1,NA,NA,NA,NA,NA,1,NA,1,NA
individual deprivation measure,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
city biodiversity index,1,NA,NA,1,NA,NA,NA,1,NA,1,NA
co2 emissions,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
air quality,1,NA,NA,1,NA,NA,NA,1,1,NA,NA
water quality,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
passenger and freight volumes by mode of transport,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
migratory birds threatened or near threatened on the iucn red list of threatened species,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
fisheries stock size,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
fisheries exploitation rates,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
arctic species trend index,1,NA,NA,1,NA,NA,NA,1,NA,1,NA
number of countries that have ratified the nagoya protocol,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
number of countries with regulations requiring recovered of depleted species,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
marine stewardship council certified catch,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
share of main groups of species in fish trade in terms of value,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
importance of forests to people,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
recognition and value of forest-management knowledge and skills of local people,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
area and percent of forests used for subsistence purposes,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
resilience of forest-dependent communities,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
ecolabel index,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
quality and abundance of food and medicine species,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
habitat quality,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
harvest intensity,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
sharing and trading institutions,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
accessibility of resources,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
weather patterns,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
cultural continuity,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
abnormal occurrences in the territory,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
abundance of food species,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
catch per unit effort,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
spatial distribution of species,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
associated species,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
cyclical patterns of abundance,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
prevalence of certain species,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
sounds associated with the forest,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
intensity of weather,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
strength of people’s connection to the forest,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
body condition,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
variability in migration patterns,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
environmental change,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
hunting success,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
prevalence of knowledge about seasonal cycles in their communities,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
mean body mass,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
abundance of preferred harvest species,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
number of publications,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
impact of agricultural habitat conversion on birds,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA
loss of lichen diversity,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
farmland bird index,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
quality of governance index,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
number of cites parties that have adopted standard procedures for non-detrimental findings,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
uplisting of species or populations from appendix ii to appendix i,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
number of cites parties with increased capacity,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
cites parties that have implemented relevant resolutions and decisions,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
commercial trade in wild-collected specimens,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
body fat,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
reproductive success,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
abundance and location of habitat,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
habitat conditions,NA,1,NA,NA,NA,NA,NA,1,NA,1,ILK
access to land,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
material wealth,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA
trade in wild mammals,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA
trade in wild animals,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA
governance index,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
catch per unit per effort,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA
undp human development dashboard,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
genuine progress indicator,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
sustainability dashboard,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
genetic diversity,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
endemic species richness,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
environmental awareness,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
inclusion of historically disadvantaged stakeholders,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
willingness to pay to protect nature or improve ecosystem services,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
willingness to allocate time for nature´s contributions to people conservation,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
number of rare or threatened species,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
structural and functional connectivity of habitat,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
proportion of population exposed to air pollution,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
photo-rankings,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
spatial densities of relational values in an area,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
ethnographic accounts,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
themes in a text representing nature´s values,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
benefits derived from healthy ecosystems and costs caused by its depletion,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
stock values of natural capital,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
sustainable development goals index,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
planetary pressures adjusted human development index (hdi),NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
sustainable well-being index (swi),NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
united nations system of environmental economic accounting,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
hectares of mangroves,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
reduced cost of road construction,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
reduced cost of road maintenance,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
fewer lives lost,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
livelihood dependence,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
use of natural resource,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
appearance of new grass in grazing areas,NA,NA,1,NA,NA,NA,NA,1,NA,1,ILK
rate of use of pesticides,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
rate of wood removal,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
corruption perception index,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
life satisfaction,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
happiness,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
number of photos taken by the public in an advert to indicate aesthetic values,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
photo series analysis using social media,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
number of wildlife pictures posted on a photo-sharing website,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
global index on indigenous peoples' well-being,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
holistic health model,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
living conditions in the arctic,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
willingness to give up access to land or other resources to protect nature,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
costs associated with protecting nature and biodiversity,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
costs associated with maintaining ncps of past or future projects,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
social welfare function (swf),NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
"number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
biodiversity in poverty reduction strategies,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
biophysical inventories of biodiversity and ecosystem services,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
companies with policies for biodiversity-friendly practices,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
national accounts reflecting state of biodiversity and ecosystem services,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA
number of countries implementing the system of environmental economic accounting,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)",NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
gross ecosystem product,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
sustainable economic welfare (isew),NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
sustainable development index (sdi),NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
gross national happiness index of bhutan,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
green gross domestic product,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
nature risk index,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
climate risk index,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
antarctic ice cores,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
direct co2 air measurements,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
global precipitation climatology centre (gpcc) v8,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
glacier mass loss,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
global surface air temperature (gmst),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
sea level change,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
ocean heat content,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
atmospheric co2 concentrations,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
global mean surface temperature (gmst),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
global mean sea level (gmsl),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
ph of ocean surface water,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
global energy budget,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
simulated global mean surface air temperature (gsat),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
simulated global mean surface air temperature (gsat) anomalies,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
estimate of gsat (era-5),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
observation-based estimate of global mean surface air temperature (gmst),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
mean gsat,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
annual gsat change,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
uk summer temperatures,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
annual ice volume,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
september sea ice extent,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
global temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
cumulative ghg emissions,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
economic damages due to river floods,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
occurrence of heat-related human mortality,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
economic inequality,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
essential climate variables (ecvs),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
essential ocean variables (eovs),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
fraction of absorbed photosynthetically active radiation (fapar),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
fire disturbances/burned areas,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
time series of normalized difference vegetation index (ndvi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
northern hemisphere temperature over the last millennium,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
thermosteric sea level,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
salinity,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
sea ice extent,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
amoc,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
global temperatures,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
boron-isotope,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
isotope-composition of molecular oxygen trapped in polar firn and ice,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
free tropospheric ozone,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
aerosol abundance,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
pollen presence,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
surface and upper air temperatures,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
surface humidity,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
precipitable water vapour,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
precipitation-evaporation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
runoff,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
sea level pressure and winds,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
hadley/walker circulation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
global monsoons,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
strom tracks and jets,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
sudden stratospheric warmings,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
seasonality and thickness,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
terrestrial snow cover,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
glacier mass and extent,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
terrestrial permafrost temperature and active layer thickness,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
sea level,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA
circulation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
ph and desoxygenation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
seasonal cycle of co2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
distribution of marine biota,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
primary production of marine biota,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
phenology of marine biota,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
