indic_id,indicator_type,Goal/target,Goal/target (explicit),Indicator name,Indicator,indicators,Availability,Time series,Update frequency,Data relevant at global scale,Data available/collated national scale,National methodology available,Institution,Other MEAs/Processes,Used in 5NR/6NR,BIP Indicator,Gender,indicators_harmonized
GBF_CY_T5_278,complementary,Target 5,,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures","Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures","Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures"
GBF_CY_T5_279,complementary,Target 5,,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats
GBF_CY_T5_280,complementary,Target 5,,Number of MSC Chain of Custody Certification holders by distribution country,Number of MSC Chain of Custody Certification holders by distribution country,Number of MSC Chain of Custody Certification holders by distribution country,Available,,Quarterly,Y,N,Y,Marine Stewardship Council (MSC),N,N,Y,N,number of msc chain of custody certification holders by distribution country
GBF_CY_T5_281,complementary,Target 5,,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),Available,,Yearly,Y,Y,Y,United Nations Conference on Trade and Development (UNCTAD),N,N,N,N,trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements)
GBF_CY_T6_282,complementary,Target 6,,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,Available,,Data pending,Y,Y,Y,International Union for Conservation of Nature Invasive Species Specialist Group  (IUCN-ISSG),N,N,N,N,number of invasive alien species in national lists as per the global register of introduced and invasive species
GBF_CY_T6_283,complementary,Target 6,,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)","Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)","Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",Available,,Yearly,Y,Y,Y,UNEP/MAP; SPA/RAC,N,N,N,N,"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)"
GBF_CY_T6_284,complementary,Target 6,,Red List Index (impacts of invasive alien species),Red List Index (impacts of invasive alien species),Red List Index (impacts of invasive alien species),Available,,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN); Birdlife International (BLI),N,N,N,N,red list index (impacts of invasive alien species)
GBF_CY_T7_285,complementary,Target 7,,Trends in Loss of Reactive Nitrogen to the Environment.,Trends in Loss of Reactive Nitrogen to the Environment.,Trends in Loss of Reactive Nitrogen to the Environment,Available,,Data pending,Y,N,Y,International Nitrogen Initiative,N,N,Y,N,trends in loss of reactive nitrogen to the environment
GBF_CY_T7_286,complementary,Target 7,,Trends in Nitrogen Deposition,Trends in Nitrogen Deposition,Trends in Nitrogen Deposition,Available,,Data pending,Y,N,Y,International Nitrogen Initiative,N,6NR 2 out of 20 countries sampled,Y,N,trends in nitrogen deposition
GBF_CY_T7_287,complementary,Target 7,,Municipal solid waste collected and managed,Municipal solid waste collected and managed,Municipal solid waste collected and managed,Available,,Yearly,Data pending,Y,Data pending,"United Nations (UN) -Habitat, United Nations Statistics Division (UNSD)",Data pending,Data pending,N,Data pending,municipal solid waste collected and managed
GBF_CY_T7_288,complementary,Target 7,,Hazardous waste generation,Hazardous waste generation,Hazardous waste generation,Available,,2 years,N,Y,Y,United Nations Statistics Division (UNSD); United Nations Environment Programme (UNEP),N,N,N,N,hazardous waste generation
GBF_CY_T7_289,complementary,Target 7,,Trends in the amount of litter in the water column including microplastics and on the seafloor,Trends in the amount of litter in the water column including microplastics and on the seafloor,Trends in the amount of litter in the water column including microplastics and on the seafloor,Available,,Yearly,Y,Y,N,UNEP/MAP; MEDPol,N,N,N,N,trends in the amount of litter in the water column including microplastics and on the seafloor
GBF_CY_T7_290,complementary,Target 7,,Index of coastal eutrophication; (b) plastic debris density,Index of coastal eutrophication; (b) plastic debris density,Index of coastal eutrophication and (b) plastic debris density,Available,,5 years,Y,N,Y,United Nations Environment Programme (UNEP),SDG,N,N,N,index of coastal eutrophication potential (icep) and (b) plastic debris density
GBF_CY_T7_291,complementary,Target 7,,Red List of Ecosystems,Red List of Ecosystems,Red List of Ecosystems,In development,,5 years,Y,Y,N,International Union for Conservation of Nature (IUCN); Commission on Ecosystem Management (CEM); Deakin University?,N,N,Y,N,red list of ecosystems
GBF_CY_T7_292,complementary,Target 7,,Underwater noise pollution,Underwater noise pollution,Underwater noise pollution,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,underwater noise pollution
GBF_CY_T7_293,complementary,Target 7,,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)","Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)","Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,N,Data pending,"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)"
GBF_CY_T7_294,complementary,Target 7,,Pesticide use per area of cropland,Pesticide use per area of cropland,Pesticide use per area of cropland,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,pesticide use per area of cropland
GBF_CY_T8_295,complementary,Target 8,,Above-ground biomass stock in forest (tonnes/ha),Above-ground biomass stock in forest (tonnes/ha),Above-ground biomass stock in forest (tonnes/ha),Available,,Data pending,N,Y,Y,Food and Agriculture Organization (FAO),SDG; UNFCCC,N,N,N,above-ground biomass stock in forest
GBF_CY_T8_296,complementary,Target 8,,National greenhouse inventories from land use and land use change,National greenhouse inventories from land use and land use change,National greenhouse inventories from land use and land use change,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,N,Data pending,national greenhouse inventories from land use and land use change
GBF_CY_T8_297,complementary,Target 8,,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Available,,Yearly,Y,Y,Y,United Nations Office for Disaster Risk Reduction (UNDRR),SDG,N,N,N,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
GBF_CY_T8_298,complementary,Target 8,,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications","Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications","Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",Available,,Yearly,Y,Y,Y,United Nations Framework Convention on Climate Change (UNFCCC),Paris Agreement; UNFCCC,N,N,N,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change"
GBF_CY_T8_299,complementary,Target 8,,Index of coastal eutrophication,Index of coastal eutrophication,Index of coastal eutrophication,Available,,5 years,Y,N,Y,United Nations Environment Programme (UNEP),SDG,N,N,N,index of coastal eutrophication potential (icep)
GBF_CY_T8_300,complementary,Target 8,,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover","Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover","Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover"
GBF_CY_T9_301,complementary,Target 9,,Proportion of fish stocks within biologically sustainable levels,Proportion of fish stocks within biologically sustainable levels,Proportion of fish stocks within biologically sustainable levels,Available,,2 years,Y,N,N,Food and Agriculture Organization (FAO),IPBES; SDG,N,Y,N,proportion of fish stocks within biologically sustainable levels
GBF_CY_T9_302,complementary,Target 9,,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",Available,,2 years,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,6NR 3 out of 20 countries sampled,N,N,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
GBF_CY_T9_303,complementary,Target 9,,Number of MSC Chain of Custody Certification holders by distribution country,Number of MSC Chain of Custody Certification holders by distribution country,Number of MSC Chain of Custody Certification holders by distribution country,Available,,Quarterly,Y,N,Y,Marine Stewardship Council (MSC),N,N,Y,N,number of msc chain of custody certification holders by distribution country
GBF_CY_T9_304,complementary,Target 9,,Spawning stock biomass (related to commercially exploited species),Spawning stock biomass (related to commercially exploited species),Spawning stock biomass (related to commercially exploited species),Available,,Data pending,Y,N,Y,General Fisheries Commission for the Mediterranean (GFCM),N,N,N,N,spawning stock biomass (related to commercially exploited species)
GBF_CY_T9_305,complementary,Target 9,,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities,Available,,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,6NR 4 out of 20 countries sampled,Y,N,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities
GBF_CY_T9_306,complementary,Target 9,,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Available,,Data pending,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,N,N,Y,volume of production per labour unit by classes of farming/pastoral/forestry enterprise size
GBF_CY_T10_307,complementary,Target 10,,Agrobiodiversity Index,Agrobiodiversity Index,Agrobiodiversity Index,In development,,Yearly,Y,N,Y,Chartered Institute of Architectural Technologists (CIAT); Alliance Biodiversity,N,N,N,N,agrobiodiversity index
GBF_CY_T10_308,complementary,Target 10,,Changes in soil organic carbon stocks,Changes in soil organic carbon stocks,Changes in soil organic carbon stocks,Available,,Data pending,Y,Y,Y,United Nations Convention to Combat Desertification (UNCCD),SDG; UNCCD,N,N,N,changes in soil organic carbon stocks
GBF_CY_T10_309,complementary,Target 10,,Red List Index (wild relatives of domesticated animals),Red List Index (wild relatives of domesticated animals),Red List Index (wild relatives of domesticated animals),Available,,1988 - 2016  Annually; 2020 onwards every 4-5 years,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,red list index (wild relatives of farmed and domesticated species)
GBF_CY_T10_310,complementary,Target 10,,Red List Index (pollinating species),Red List Index (pollinating species),Red List Index (pollinating species),Available,,1988 - 2016  Annually; 2020 onwards every 4-5 years,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,red list index (pollinators)
GBF_CY_T10_311,complementary,Target 10,,Proportion of local breeds classified as being at risk extinction,Proportion of local breeds classified as being at risk extinction,Proportion of local breeds classified as being at risk extinction,Available,,Yearly,N,Y,Y,Food and Agriculture Organization (FAO),IPBES; SDG,N,Y,N,proportion of local breeds classified as being at risk of extinction
GBF_CY_T10_312,complementary,Target 10,,Proportion of land that is degraded over total land area,Proportion of land that is degraded over total land area,Proportion of land that is degraded over total land area,Available,,Yearly,Y,Y,Y,United Nations Convention to Combat Desertification (UNCCD),SDG; UNCCD,6NR 1 out of 20 countries sampled,Y,N,proportion of land that is degraded over total land area
GBF_CY_T11_313,complementary,Target 11,,Air emission accounts,Air emission accounts,Air emission accounts,Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),N,N,N,N,air emission accounts
GBF_CY_T11_314,complementary,Target 11,,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Available,,Data pending,Y,Y,Y,United Nations Environment Programme (UNEP); Organisation for Economic Co-operation and Development (OECD); World Health Organization (WHO),SDG,N,N,N,proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management
GBF_CY_T11_315,complementary,Target 11,,Proportion of population using safely managed drinking water services,Proportion of population using safely managed drinking water services,Proportion of population using safely managed drinking water services,Available,,2 years,Y,Y,Y,World Health Organization (WHO); United Nations International Children's Emergency Fund (UNICEF),SDG,N,N,Y,proportion of population using safely managed drinking water services
GBF_CY_T11_316,complementary,Target 11,,Mortality rate attributed to household and ambient air pollution,Mortality rate attributed to household and ambient air pollution,Mortality rate attributed to household and ambient air pollution,Available,,Data pending,Y,N,Y,World Health Organization (WHO),SDG,N,N,Y,mortality rate attributed to household and ambient air pollution
GBF_CY_T13_318,complementary,Target 13,,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,Available,,Yearly,N,Y,N,International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA),N,N,N,N,total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country
GBF_CY_T13_319,complementary,Target 13,,"Total number of permits, or their equivalent, granted for access to genetic resources","Total number of permits, or their equivalent, granted for access to genetic resources","Total number of permits, or their equivalent, granted for access to genetic resources",Available,,4 years,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,"total number of permits, or their equivalent, granted for access to genetic resources"
GBF_CY_T13_320,complementary,Target 13,,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,Available,,Real time,N,Y,Y,Access and Benefit Sharing Clearing-House (ABSCH) of the Convention on Biological Diversity (CBD),N,N,N,N,total number of internationally recognized certificates of compliance published in the abs clearing-house
GBF_CY_T13_321,complementary,Target 13,,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House","Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House","Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House",Available,,Data pending,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house"
GBF_CY_T13_322,complementary,Target 13,,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,Available,,Real time,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house
GBF_CY_T13_323,complementary,Target 13,,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits","Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits","Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",Available,,Yearly,Y,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),SDG,6NR 2 out of 20 countries sampled,N,N,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
GBF_CY_T13_324,complementary,Target 13,,Estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity,Estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity,Estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity
GBF_CY_T14_325,complementary,Target 14,,Human Appropriation of Net Primary Production (HANPP),Human Appropriation of Net Primary Production (HANPP),Human Appropriation of Net Primary Production (HANPP),Available,,1960 - 2000: every 10 years; 2000 - 2005: five years,Y,Y,Y,"Institute of Social Ecology (SEC), University of Natural Resources and Life Sciences - Vienna",N,N,Y,N,human appropriation of net primary production
GBF_CY_T14_326,complementary,Target 14,,CO2 emission per unit of value added,CO2 emission per unit of value added,CO2 emission per unit of value added,Available,,Yearly,Y,Y,Y,International Energy Agency (IEA); United Nations Industrial Development Organization (UNIDO),SDG,N,N,N,co2 emission per unit of value added
GBF_CY_T14_327,complementary,Target 14,,Change in water-use efficiency over time,Change in water-use efficiency over time,Change in water-use efficiency over time,Available,,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO) AQUASTAT,SDG,6NR 1 out of 20 countries sampled,N,N,change in water-use efficiency over time
GBF_CY_T15_328,complementary,Target 15,,Species threat abatement and restoration metric,Species threat abatement and restoration metric,Species threat abatement and restoration metric,In development,,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN),N,N,N,N,species threat abatement and restoration metric
GBF_CY_T15_329,complementary,Target 15,,Number of companies publishing sustainability reports,Number of companies publishing sustainability reports,Number of companies publishing sustainability reports,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,number of companies publishing sustainability reports
GBF_CY_T16_330,complementary,Target 16,,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)","Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)",Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Available,,4 years,N,Y,Y,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",SDG; UNESCO,N,N,N,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
GBF_CY_T16_331,complementary,Target 16,,Recycling rate,Recycling rate,Recycling rate,Available,,Yearly,Y,Y,Y,United Nations Statistics Division (UNSD); United Nations Environment Programme (UNEP),SDG,N,N,N,recycling rate
GBF_CY_T16_332,complementary,Target 16,,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling,Life cycle Impact assessment (LCIA),Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,life cycle impact assessment (lcia)
GBF_CY_T16_333,complementary,Target 16,,Levels of poverty in developing communities,Levels of poverty in developing communities,Levels of poverty in developing communities,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,levels of poverty in developing communities
GBF_CY_T17_334,complementary,Target 17,,Number of countries that have the necessary biosafety legal and administrative measures in place,Number of countries that have the necessary biosafety legal and administrative measures in place,Number of countries that have the necessary biosafety legal and administrative measures in place,Available,,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of countries that have the necessary biosafety legal and administrative measures in place
GBF_CY_T17_335,complementary,Target 17,,Number of countries that implement their biosafety measures,Number of countries that implement their biosafety measures,Number of countries that implement their biosafety measures,Available,,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of countries that implement their biosafety measures
GBF_CY_T17_336,complementary,Target 17,,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,Available,,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of countries that have the necessary measures and means for detection and identification of products of biotechnology
GBF_CY_T17_337,complementary,Target 17,,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,Available,,2 - 4 years,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of countries that carry out scientifically sound risk assessments to support biosafety decision-making
GBF_CY_T17_338,complementary,Target 17,,Number of countries that establish and implement risk management measures,Number of countries that establish and implement risk management measures,Number of countries that establish and implement risk management measures,Available,,2 - 4 years,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of countries that establish and implement risk management measures
GBF_CY_T17_339,complementary,Target 17,,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol,Available,,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol
GBF_CY_T17_340,complementary,Target 17,,Number of countries with legal and technical measures for restoration and compensation,Number of countries with legal and technical measures for restoration and compensation,Number of countries with legal and technical measures for restoration and compensation,Available,,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of countries with legal and technical measures for restoration and compensation
GBF_CY_T17_341,complementary,Target 17,,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,Available,,2 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,percentage of parties to the nagoya - kuala lumpur supplementary protocol
GBF_CY_T17_342,complementary,Target 17,,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,Available,,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity
GBF_CY_T17_343,complementary,Target 17,,Number of countries that establish and implement risk management measures,Number of countries that establish and implement risk management measures,Number of countries that establish and implement risk management measures,Available,,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of countries that establish and implement risk management measures
GBF_CY_T17_344,complementary,Target 17,,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,Available,,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health
GBF_CY_T18_345,complementary,Target 18,,Number of countries with biodiversity-relevant taxes,Number of countries with biodiversity-relevant taxes,Number of countries with biodiversity-relevant taxes,Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,6NR 2 out of 20 countries sampled,Y,N,number of countries with biodiversity-relevant taxes
GBF_CY_T18_346,complementary,Target 18,,Number of countries with biodiversity-relevant charges and fees,Number of countries with biodiversity-relevant charges and fees,Number of countries with biodiversity-relevant charges and fees,Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,N,Y,N,number of countries with biodiversity-relevant charges and fees
GBF_CY_T18_347,complementary,Target 18,,Number of countries with biodiversity-relevant tradable permit schemes,Number of countries with biodiversity-relevant tradable permit schemes,Number of countries with biodiversity-relevant tradable permit schemes,Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),N,N,Y,N,number of countries with biodiversity-relevant tradable permit schemes
GBF_CY_T18_348,complementary,Target 18,,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),Available,,Yearly,Y,Y,N,Organisation for Economic Co-operation and Development (OECD),N,N,Y,N,trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate)
GBF_CY_T18_349,complementary,Target 18,,Trends in the number and value of government fossil fuel support measures,Trends in the number and value of government fossil fuel support measures,Trends in the number and value of government fossil fuel support measures,Available,,Yearly,N,Y,Y,International Energy Agency (IEA); Organisation for Economic Co-operation and Development (OECD),N,N,N,N,trends in the number and value of government fossil-fuel support measures
GBF_CY_T18_350,complementary,Target 18,,Amount of fossil-fuel subsidies per unit of GDP (production and consumption),Amount of fossil-fuel subsidies per unit of GDP (production and consumption),Amount of fossil-fuel subsidies per unit of GDP (production and consumption),Available,,Yearly,Y,Y,Y,United Nations Environment Programme (UNEP),N,N,N,N,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption)
GBF_CY_T19_351,complementary,Target 19,,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area,Available,,Yearly,N,Y,N,Global Environment Facility (GEF),N,N,N,N,amount of funding provided through the global environment facility and allocated to the biodiversity focal area
GBF_CY_T19_352,complementary,Target 19,,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget","Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget","Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",In development,,Yearly,N,Y,Y,Organisation for Economic Co-operation and Development  (OECD); United Nations Conference on Trade and Development  (UNCTAD),SDG,N,N,N,"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget"
GBF_CY_T19_353,complementary,Target 19,,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system,Available,,Data pending,N,Y,N,Organisation for Economic Co-operation and Development (OECD),N,N,N,N,amount and composition of biodiversity-related finance reported to the oecd creditor reporting system
