indicators_harmonized,ids,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_orig
relative magnitude of fragmentation (rmf),GBF_CY_GA_148,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,Relative Magnitude of Fragmentation (RMF)
biodiversity intactness index,GBF_CY_GA_150,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,Biodiversity Intactness Index
ocean health index,GBF_CY_GA_151,GBF,1,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,Ocean Health Index
extent of physical damage indicator to predominant seafloor habitats physical damage,GBF_CY_GA_152,GBF,NA,Direct Drivers,Land Conversion,NA,NA,Extent of physical damage indicator to predominant seafloor habitats physical damage
river fragmentation index,GBF_CY_GA_153,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,State Of Ecosystems (Freshwater/Coastal),River Fragmentation Index
dendritic connectivity index,GBF_CY_GA_154,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,Dendritic Connectivity Index
percentage of threatened species that are improving in status,"GBF_CY_GA_155,GBF_CY_T4_270",GBF,NA,Biodiversity,Species Conservation,NA,Change In Biodiversity,"Percentage of threatened species that are improving in status according to the Red List,Percentage of threatened species that are improving in status"
number of threatened species by species group,GBF_CY_GA_156,GBF,NA,Biodiversity,Species Conservation,NA,NA,Number of threatened species by species group
wild bird index,GBF_CY_GA_157,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,Wild bird index
mean species abundance (msa),GBF_CY_GA_158,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,Mean Species Abundance (MSA)
changes in plankton biomass and abundance,GBF_CY_GA_160,GBF,NA,Biodiversity,Change In Biodiversity,NA,NA,Changes in plankton biomass and abundance
fish abundance and biomass,GBF_CY_GA_161,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Fish abundance and biomass
genetic scorecard for wild species,GBF_CY_GA_162,GBF,NA,Biodiversity,Genetic Resources,NA,NA,Genetic scorecard for wild species
species richness,GBF_CY_GA_163,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,Species richness/Changes in local terrestrial diversity (PREDICTS)
local species richness (predicts),GBF_CY_GA_164,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,Species richness/Changes in local terrestrial diversity (PREDICTS)
marine species richness,GBF_CY_GA_165,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Marine species richness
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF_CY_GA_166,GBF,NA,Biodiversity,Species Conservation,Human Assets,Information On Biodiversity,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,"GBF_CY_GA_167,GBF_CY_T9_312",GBF,1,Biodiversity,Genetic Resources,NA,NA,"Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities"
proportion of local breeds classified as being at risk of extinction,"GBF_CY_GA_168,GBF_CY_T4_272,GBF_CY_T10_318,SDG_2_5_2_25","GBF,SDG",1,Biodiversity,Species Conservation,NA,NA,"Proportion of local breeds classified as being at risk of extinction,Proportion of local breeds classified as being at risk of extinction,Proportion of local breeds classified as being at risk of extinction,Proportion of local breeds classified as being at risk of extinction"
red list index (wild relatives of farmed and domesticated species),"GBF_CY_GA_169,GBF_CY_T4_273,GBF_CY_T10_316",GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,"Red List Index (wild relatives of domesticated animals),Red List Index (wild relatives of domesticated animals),Red List Index (wild relatives of domesticated animals)"
cms connectivity indicator,GBF_CY_GA_170,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,CMS Connectivity Indicator
intact wilderness,"GBF_CY_GA_172,GBF_CY_GB_194",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,"Intact wilderness,Intact wilderness"
loss of phylogenetic diversity,"GBF_CY_GA_173,GBF_CY_GB_179",GBF,1,Biodiversity,Genetic Diversity,NA,NA,"Expected loss of Phylogenetic Diversity,Expected loss of Phylogenetic Diversity"
proportion of populations maintained within species,GBF_CY_GA_174,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Proportion of populations maintained within species
free flowing rivers,"GBF_CY_GA_175,GBF_CY_T2_242",GBF,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,"Free flowing rivers,Free flowing rivers"
levels of poverty in biodiversity depended communities,GBF_CY_GB_176,GBF,NA,Human Assets,Income,NA,State Of Economy,Levels of poverty in biodiversity depended communities
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,GBF_CY_GB_178,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation
red list index (pollinators),"GBF_CY_GB_180,GBF_CY_T10_317",GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,"Red List Index (pollinating species),Red List Index (pollinating species)"
green status index (pollinators),GBF_CY_GB_181,GBF,NA,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,Green status index (pollinators)
air quality index,GBF_CY_GB_182,GBF,NA,Ecosystems,Abiotic Conditions,Human Well-Being,Healthy Living Conditions,Air quality index
air pollution emissions account,GBF_CY_GB_183,GBF,NA,Direct Drivers,Pollution,NA,NA,Air pollution emissions account
zoonotic disease in wildlife,GBF_CY_GB_184,GBF,NA,Direct Drivers,(Infectious) Diseases,NA,NA,Zoonotic disease in wildlife
climatic impact index,GBF_CY_GB_185,GBF,1,Direct Drivers,Climate Change,NA,NA,Climatic impact index
ocean acidification,GBF_CY_GB_186,GBF,NA,Direct Drivers,Pollution,NA,NA,Ocean acidification
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),"GBF_CY_GB_187,SDG_6_4_2_98","GBF,SDG",1,Ecosystems,Change In Ecosystems,Biodiversity,NA,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources"
eflow index,GBF_CY_GB_189,GBF,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,Eflow index
change in the quality of inland water ecosystems over time,GBF_CY_GB_190,GBF,NA,Ecosystems,State Of Ecosystems,NA,Change In Ecosystems,Change in the quality of inland water ecosystems over time
change in the quality of coastal water ecosystems over time,GBF_CY_GB_191,GBF,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,Change In Ecosystems,Change in the quality of coastal water ecosystems over time
level of erosion,GBF_CY_GB_192,GBF,NA,Ecosystems,State Of Ecosystems,Direct Drivers,Natural Drivers,Level of erosion
biofuel production,GBF_CY_GB_195,GBF,NA,Ecosystem Services,Nature Contribution,NA,NA,Biofuel production
fish catch potential,GBF_CY_GB_196,GBF,1,Ecosystem Services,Nature Contribution,NA,NA,Maximum fish catch potential
population involved in hunting and gathering,GBF_CY_GB_197,GBF,NA,Human Assets,Coverage Of Basic Needs,Ecosystem Services,Nature Contribution,Population involved in hunting and gathering
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale","GBF_CY_GB_198,SDG_2_1_2_16","GBF,SDG",1,Human Assets,Coverage Of Basic Needs,Human Well-Being,Healthy Living Conditions,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES),Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)"
forestry production and trade (wood fuel),GBF_CY_GB_199,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,Forestry Production & Trade (Wood Fuel)
trends in the legal trade of medicinal plants,GBF_CY_GB_200,GBF,NA,Human Assets,Income,Ecosystem Services,Nature Contribution,Trends in the legal trade of medicinal plants
visitor management assessment,GBF_CY_GB_201,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,Visitor management assessment
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,GBF_CY_GB_202,GBF,NA,Human Well-Being,Cultural Diversity,Knowledge Systems,Information On Society And Socio-Economics,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",GBF_CY_GB_203,GBF,NA,Human Well-Being,Cultural Diversity,Knowledge Systems,Ilk,"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves"
linguistic diversity index,GBF_CY_GB_204,GBF,1,Human Well-Being,Cultural Diversity,NA,NA,Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages
trends of bilinguistic diversity and numbers of speakers of indigenous languages,GBF_CY_GB_205,GBF,NA,Human Well-Being,Cultural Diversity,Knowledge Systems,Ilk,Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF_CY_GB_206,GBF,NA,Governance,Legislation/Governance,Human Well-Being,Cultural Diversity,"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity"
cultural vitality index,GBF_CY_GB_207,GBF,NA,Human Well-Being,Cultural Diversity,NA,NA,Cultural vitality index
unesco culture 2030 (multiple indicators),GBF_CY_GB_208,GBF,NA,Governance,National/International Cooperation,NA,NA,UNESCO Culture 2030 (multiple indicators)
processes and tools to monitor the implementation of a right to a healthy environment,GBF_CY_GB_209,GBF,NA,Human Well-Being,Healthy Living Conditions,Governance,Legislation/Governance,Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports
red list index (internationally traded species),GBF_CY_GB_210,GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,Red List Index (for internationally traded species)
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_CY_GC_211,GBF,NA,Biodiversity,Genetic Resources,NA,NA,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints
total number of internationally recognized certificates of compliance published in the abs clearing-house,"GBF_CY_GC_212,GBF_CY_T13_327",GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"Total number of internationally recognized certificates published in the ABS Clearing-House,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House"
number of checkpoint communiques published in the abs clearing-house,GBF_CY_GC_213,GBF,NA,Governance,Legislation/Governance,NA,NA,Number of checkpoint communiques published in the ABS Clearing-House
number of internationally recognized certificates of compliance for non-commercial purposes,GBF_CY_GC_214,GBF,NA,Governance,National/International Cooperation,NA,NA,Number of internationally recognized certificates of compliance for non-commercial purposes
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting","GBF_CY_GC_215,SDG_15_9_1_b_223","GBF,SDG",1,Governance,Nature-Based Funding,NA,NA,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting.,(a) Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting"
finance mobilized for capacity-building,GBF_CY_GD_216,GBF,NA,Governance,Legislation/Governance,NA,NA,Finance mobilized for capacity-building
