indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2
number of publications,NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
impact of agricultural habitat conversion on birds,NA,1,SUA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Land Conversion,NA
loss of lichen diversity,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Change In Biodiversity,NA
farmland bird index,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
quality of governance index,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Legislation/Governance,NA
number of cites parties that have adopted standard procedures for non-detrimental findings,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA
number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
uplisting of species or populations from appendix ii to appendix i,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,Biodiversity,Change In Biodiversity,Species Conservation
number of cites parties with increased capacity,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA
cites parties that have implemented relevant resolutions and decisions,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA
commercial trade in wild-collected specimens,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA
body fat,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
reproductive success,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
abundance and location of habitat,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
habitat conditions,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
access to land,NA,1,SUA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Equity,NA
material wealth,NA,1,SUA,1,1,0,1,1,NA,NA,1,Human Assets,NA,Income,NA
trade in wild mammals,NA,1,SUA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA
trade in wild animals,NA,1,SUA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA
governance index,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Legislation/Governance,NA
catch per unit per effort,NA,1,SUA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA
undp human development dashboard,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
sustainability dashboard,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
genetic diversity,NA,1,VA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Genetic Diversity,NA
endemic species richness,NA,1,VA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
environmental awareness,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA
inclusion of historically disadvantaged stakeholders,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Equity,NA
willingness to pay to protect nature or improve ecosystem services,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA
willingness to allocate time for nature´s contributions to people conservation,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA
number of rare or threatened species,NA,1,VA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
structural and functional connectivity of habitat,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
proportion of population exposed to air pollution,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution
photo-rankings,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
spatial densities of relational values in an area,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
ethnographic accounts,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Assets,NA,Information On Society And Socio-Economics,NA
themes in a text representing nature´s values,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
benefits derived from healthy ecosystems and costs caused by its depletion,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA
stock values of natural capital,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
sustainable development goals index,NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Legislation/Governance,NA
planetary pressures adjusted human development index (hdi),NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
sustainable well-being index (swi),NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
united nations system of environmental economic accounting,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
reduced cost of road construction,NA,1,VA,1,1,0,1,1,NA,NA,1,Human Assets,NA,Infrastructure (Build-Up Area),NA
reduced cost of road maintenance,NA,1,VA,1,1,0,1,1,NA,NA,1,Human Assets,NA,Infrastructure (Build-Up Area),NA
fewer lives lost,NA,1,VA,1,1,0,1,1,NA,NA,1,Human Well-Being,NA,Healthy Living Conditions,NA
livelihood dependence,NA,1,VA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
use of natural resource,NA,1,VA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,NA,1,VA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA
appearance of new grass in grazing areas,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Ilk,NA
rate of use of pesticides,NA,1,VA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA
rate of wood removal,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA
corruption perception index,NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Broken Governance,NA
life satisfaction,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA
happiness,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA
number of photos taken by the public in an advert to indicate aesthetic values,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA
photo series analysis using social media,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
number of wildlife pictures posted on a photo-sharing website,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
global index on indigenous peoples' well-being,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Ilk And Iplc,NA
holistic health model,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA
living conditions in the arctic,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA
willingness to give up access to land or other resources to protect nature,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA
costs associated with protecting nature and biodiversity,NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Funding,NA
costs associated with maintaining ncps of past or future projects,NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Funding,NA
social welfare function (swf),NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
"number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA
biodiversity in poverty reduction strategies,NA,1,VA,1,1,0,1,1,NA,NA,1,Governance,NA,Nature-Based Legislation,NA
biophysical inventories of biodiversity and ecosystem services,NA,1,VA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA
companies with policies for biodiversity-friendly practices,NA,1,VA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA
national accounts reflecting state of biodiversity and ecosystem services,NA,1,VA,1,1,0,1,1,NA,NA,1,Knowledge Systems,Ecosystem Services,Information On Biodiversity,Nature Contribution
number of countries implementing the system of environmental economic accounting,NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA
"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)",NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA
gross ecosystem product,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
sustainable economic welfare (isew),NA,1,VA,1,1,0,1,1,NA,1,NA,Human Assets,NA,State Of Economy,NA
sustainable development index (sdi),NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA
gross national happiness index of bhutan,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA
green gross domestic product,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
nature risk index,NA,1,VA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Natural Drivers,NA
climate risk index,NA,1,VA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Natural Drivers,NA
invasive alien species are given new names by indigenous peoples and local communities,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Ilk,NA
total imports,NA,1,IAS,1,1,0,1,1,NA,NA,1,Human Assets,NA,State Of Economy,NA
human population size,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
number of tourists,NA,1,IAS,1,1,0,1,1,NA,NA,1,Human Well-Being,NA,Recreation,NA
proportion of cropland,NA,1,IAS,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA
proportion of urban area,NA,1,IAS,1,1,0,1,1,NA,NA,1,Human Assets,NA,Infrastructure (Build-Up Area),NA
ship calls,NA,1,IAS,1,1,0,1,1,NA,NA,1,Human Assets,NA,Infrastructure (Build-Up Area),NA
number of people migrating,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
temperature,NA,1,"IAS,IPCC",1,2,0,2,1,NA,1,1,Ecosystems,NA,Abiotic Conditions,NA
number of studies on ias available per region,NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,Biodiversity,Information On Biodiversity,Invasive Alien Species
number of widespread phyla for which no information was available for a particular region,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Information On Biodiversity,NA
comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
total number of introduced alien species,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Invasive Alien Species,NA
rate of species accumulation,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Change In Biodiversity,NA
current distribution of species,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA
human population density,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
mean annual precipitation,NA,1,IAS,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
mean annual temperature,NA,1,IAS,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
evolutionary diversity,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Genetic Diversity,NA
tree biomass,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA
phylogenetic distance,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Genetic Diversity,NA
concentration of hydrogen ions (h+),NA,1,IAS,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
number of species at risk of extinction,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,Biodiversity,Information On Biodiversity,State Of Biodiversity
mean body length,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA
growth rates,NA,1,IAS,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
condition index,NA,1,IAS,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
totem or culturally important species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Ilk,NA
functional diversity,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA
macroinvertebrate-based indices,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA
trends in pathways of introduction and spread,NA,1,IAS,1,1,0,1,1,NA,1,NA,Biodiversity,Governance,Invasive Alien Species,Nature-Based Legislation
trends in numbers of invasive alien species and their impacts,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
"trends, mechanisms and severity of invasive alien species impacts",NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
trends in the allocation of resources towards the prevention or control of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Funding
trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation
trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation
trends in the prevention of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation
growth in information relevant to informing policy on invasive alien species prevention and control,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Knowledge Systems,Invasive Alien Species,Information On Biodiversity
trends in successful control and eradications of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation
existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation
resourcing of invasive alien species prevention and control activities,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Legislation/Governance
national funding for resourcing of biological invasions policy and management implementation,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,Governance,Invasive Alien Species,Nature-Based Funding
global funding for resourcing of biological invasions policy and management implementation,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,Governance,Invasive Alien Species,Nature-Based Funding
number of biogeographic regions with risk-associated activities,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Ecosystems,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,State Of Ecosystems
trends in numbers of facilities in the region,NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,Human Well-Being,Information On Society And Socio-Economics,Healthy Living Conditions
"number of tourists, scientists and facilities per biogeographic region",NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
number of alien and invasive taxa per biogeographic region,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
trends in extinction risk of birds impacted by invasive species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Biodiversity,Invasive Alien Species,Change In Biodiversity
prospective inclusion of other native taxa and threatened habitats,NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
trends in adoption of multinational agreements to reduce invasive alien species threats,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation
trends in invasive alien species relevant submissions to managers,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
trends in invasive alien species eradication at different scales,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
number of alien taxa,NA,1,IAS,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Invasive Alien Species,NA
species negatively impacting biodiversity,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,Biodiversity,Information On Biodiversity,Change In Biodiversity
trends in species at risk of localized extinction in a protected area,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA
extent of which essential policy and management approaches have been adopted,NA,1,IAS,1,1,0,1,1,NA,NA,1,Governance,NA,Legislation/Governance,NA
gross national product,NA,1,IAS,1,1,0,1,1,NA,1,NA,Human Assets,NA,State Of Economy,NA
index of sustaibale economic welfare,NA,1,IAS,1,1,0,1,1,NA,1,NA,Human Assets,NA,State Of Economy,NA
spread of alien species by pathway,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
"impact of alien species on sensitive places, species and functions",NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
interventions to limit spread and reduce impact of alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
alien species occurrence,NA,1,IAS,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Invasive Alien Species,NA
status of an individual or species as native or alien,NA,1,IAS,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Invasive Alien Species,NA
invasive alien species impact,NA,1,IAS,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Invasive Alien Species,NA
trends in numbers and spatial distribution of invasive alien species and their impacts,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
trends in the prevention and eradication and control of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Legislation/Governance
trends in successful eradications of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
improvement in conseration status of species threatened by invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Biodiversity,Invasive Alien Species,Change In Biodiversity
antarctic ice cores,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,Direct Drivers,State Of Ecosystems,Climate Change
direct co2 air measurements,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
global precipitation climatology centre (gpcc) v8,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
glacier mass loss,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Change In Ecosystems,NA
global surface air temperature (gmst),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
sea level change,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Change In Ecosystems,NA
ocean heat content,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,Direct Drivers,State Of Ecosystems,Climate Change
atmospheric co2 concentrations,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
global mean surface temperature (gmst),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
global mean sea level (gmsl),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
ph of ocean surface water,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
global energy budget,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Governance,NA,Legislation/Governance,NA
simulated global mean surface air temperature (gsat),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
simulated global mean surface air temperature (gsat) anomalies,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
estimate of gsat (era-5),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
observation-based estimate of global mean surface air temperature (gmst),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
mean gsat,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
annual gsat change,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
uk summer temperatures,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
annual ice volume,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
september sea ice extent,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
global temperature,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
cumulative ghg emissions,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Climate Change,NA
economic damages due to river floods,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Human Assets,Direct Drivers,Infrastructure (Build-Up Area),Natural Drivers
occurrence of heat-related human mortality,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Human Well-Being,Direct Drivers,Healthy Living Conditions,Natural Drivers
economic inequality,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Human Well-Being,NA,Equity,NA
essential climate variables (ecvs),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
essential ocean variables (eovs),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
fraction of absorbed photosynthetically active radiation (fapar),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
fire disturbances/burned areas,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Natural Drivers,NA
time series of normalized difference vegetation index (ndvi),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Change In Ecosystems,NA
northern hemisphere temperature over the last millennium,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
thermosteric sea level,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
salinity,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
sea ice extent,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
amoc,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
global temperatures,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
boron-isotope,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
isotope-composition of molecular oxygen trapped in polar firn and ice,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
free tropospheric ozone,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
aerosol abundance,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Pollution,NA
pollen presence,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
surface and upper air temperatures,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
surface humidity,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
precipitable water vapour,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
precipitation,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
precipitation-evaporation,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
runoff,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Pollution,NA
sea level pressure and winds,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
hadley/walker circulation,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
global monsoons,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
strom tracks and jets,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA
sudden stratospheric warmings,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
seasonality and thickness,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
terrestrial snow cover,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
glacier mass and extent,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Change In Ecosystems,NA
terrestrial permafrost temperature and active layer thickness,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,Ecosystems,Abiotic Conditions,State Of Ecosystems
sea level,NA,1,"GEO,IPCC",NA,2,0,2,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
ph and desoxygenation,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
seasonal cycle of co2,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
distribution of marine biota,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
primary production of marine biota,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA
phenology of marine biota,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
distribution of terrestrial biota,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
global greening/browning,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Climate Change,NA
