indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,ipbes_assess
adverse changes of unpalatable species,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Change In Biodiversity,NA,GA
global cover of mangroves,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GA
hallow coral reefs,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA,GA
severe global bleaching events,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystems,Direct Drivers,Change In Ecosystems,Climate Change,GA
species used for medicine,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Ilk,NA,GA
crops and their dietary roles,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,Human Well-Being,Nature Contribution,Healthy Living Conditions,GA
forest and its role in protecting water sources,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
"behavior of animals with importance as food, changes in crop phenology",NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,Biodiversity,Nature Contribution,Change In Biodiversity,GA
development of crop varieties or landraces,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Land Conversion,NA,GA
visitation to national parks,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Recreation,NA,GA
visitation to urban green spaces,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Recreation,NA,GA
connection to land,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Ilk And Iplc,NA,GA
connection to sea,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Ilk And Iplc,NA,GA
bare area,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
area of floodplain wetlands,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
net primary productivity in forests and on cultivated land,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
cultivated area,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
above-ground biomass in forests,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
medicinal species as a fraction of total vascular plant species,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Ilk,GA
geographical overlay of linguistic diversity and biodiversity,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,Knowledge Systems,Information On Society And Socio-Economics,Information On Biodiversity,GA
rate of land use change,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,Ecosystems,Land Conversion,Change In Ecosystems,GA
population size,NA,1,"GA,SUA",1,2,0,2,2,NA,1,1,Biodiversity,NA,State Of Biodiversity,NA,"GA,SUA"
spatial distribution,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,GA
animal behavior,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,GA
phenology of economically and/or culturally important wild plant and animal species,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA,GA
distance travelled to reach a resource,NA,1,GA,1,1,0,1,1,NA,NA,1,Human Well-Being,NA,Healthy Living Conditions,NA,GA
health of the soil,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA,GA
density of preferred and palatable species,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,GA
health of the forest,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
encounter rates with supernatural forest dwelling entities,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Ilk,NA,GA
extent of ecosystems that filter or add constituent components to water,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
reduced concentration of pollutants in water,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
health associated with intake of pollinator dependent foods,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution,GA
natural habitat in agriculture,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
reduced concentrations of pm2.5,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
avoided morbidity and premature mortality from air pollution,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution,GA
avoided costs from air pollution,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,Direct Drivers,Legislation/Governance,Pollution,GA
reduced concentrations of greenhouse gases in the atmosphere,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
reduction in climate related costs,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Legislation/Governance,NA,GA
land and ocean carbon sinks,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
reduced ocean acidification,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
seafood availability due to ocean acidification,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,Direct Drivers,Nature Contribution,Pollution,GA
extent of marine calcification benefits from coral reefs,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
soil quality impact on crop production,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
ability of ecosystems to absorb and buffer hazards,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
reduced incidence and severity of hazards,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
reduced morbidity and premature mortality due to natural hazards,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
reduced property loss due to natural hazards,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
reduced food spoilage,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
reduced net farm income loss from pests and diseases,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Assets,NA,Income,NA,GA
diversity of competent hosts of vector-borne diseases,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,Direct Drivers,Genetic Diversity,(Infectious) Diseases,GA
reduced risk of disease transmission,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,(Infectious) Diseases,NA,GA
reduced incidence of infectious diseases,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,(Infectious) Diseases,NA,GA
extent of agricultural land,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
production of fuelwood,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
energy security from bio-energy and fuelwood,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
food produced (kcal),NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs,GA
food quality (nutrients),NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs,GA
reduced malnutrition,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
marine stocks,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
reduced hunger,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
seafood produced (kcal),NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
agriculture-based materials produced (tons),NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
employment in materials production,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Assets,Ecosystem Services,Income,Nature Contribution,GA
timber production (m3),NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
revenue from forestry,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
fraction of species known to be medicinal,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Ilk,NA,GA
natural medicinal products and manufactured bio-derived medicines,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Ilk,NA,GA
improved health from natural medicines or bio-derived medicines,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
phylogenetic diversity,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Genetic Diversity,NA,GA
gene bank accession and available genetic resources,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Genetic Resources,NA,GA
proximity of people and nature,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,GA
ideas and products mimicking or inspired by nature,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,GA
economic value of bio-inspired production,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
diversity of life from which to learn,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Information On Biodiversity,GA
"visitation rates to natural terrestrial, coastal, and marine areas",NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Recreation,NA,GA
"increased awareness, care, mental health, cultural security, life satisfaction - urban",NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,Human Well-Being,Healthy Living Conditions,Wellness,GA
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,Human Well-Being,Healthy Living Conditions,Wellness,GA
"daily exposure natural terrestrial, coastal and marine areas",NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
stability of land use and land cover,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GA
identity value - urban,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA,GA
identity value - rural and iplc,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA,GA
visitation to natural areas,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Recreation,NA,GA
percentage of population living in dense urban areas,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
historic land use change since 1970,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Land Conversion,NA,GA
leaf surface area,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,GA
transfer of water to the atmosphere,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA,GA
biotic productivity,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA,GA
extent of protected and intact habitat globally,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,GA
correlation between high cultural diversity and areas of high biodiversity,NA,1,GA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,GA
population extinctions,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Change In Biodiversity,NA,GA
range contractions,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Change In Biodiversity,NA,GA
biomass abundance,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
production,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
species distribution area and shift,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,Biodiversity,State Of Biodiversity,Change In Biodiversity,GA
habitat area and quality,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
organisms` size or growth,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
reproduction rate,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
"pest, invasive or harmful species",NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,GA
c pool,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
global scale ecosystem carbon storage,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
adaptive capacity index (aci),NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
oecd better life index,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA,GA
sustainable development goals (sdg) index,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
cumulative human impacts on marine ecosystems,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
average conservation status,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Species Conservation,NA,GA
extent of suitable habitat index (esh),NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GA
species area relationship,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
happy planet index,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA,GA
gini index,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Equity,NA,GA
rule of law index,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Legislation/Governance,NA,GA
water quality risk index,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
mibid index,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,Ecosystem Services,State Of Ecosystems (Coverage),Nature Contribution,GA
commodity index,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Assets,NA,State Of Economy,NA,GA
index of sustainable economic welfare (isew),NA,1,"GA,VA",1,2,0,2,2,NA,1,NA,Human Assets,NA,State Of Economy,NA,"GA,VA"
genuine progress indicator,NA,1,"GA,VA,IAS",1,3,0,3,3,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,"GA,VA,IAS"
funding for environmental education,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Funding,NA,GA
funding for environmental impact assessments,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Funding,NA,GA
human appropriation of fresh water,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites),NA,1,GA,1,1,0,1,1,NA,NA,1,Governance,NA,Legislation/Governance,NA,GA
growth in human appropriation of net primary productivity,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
demand for greener products and services,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
green consumption,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,Human Well-Being,Nature Contribution,Healthy Living Conditions,GA
annual rate of net forest loss,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Change In Ecosystems,NA,GA
proportion of sites in the world database on protected areas reporting shared governance,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,Knowledge Systems,Information On Biodiversity,Information On Society And Socio-Economics,GA
number of extintions,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Change In Biodiversity,NA,GA
proportion of domesticated breeds categorized as at risk or extinct,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystem Services,Biodiversity,Nature Contribution,Change In Biodiversity,GA
extinction risk of wild relatives of domesticated or farmed birds and mammals,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystem Services,Biodiversity,Nature Contribution,Change In Biodiversity,GA
red list index (vertebrate pollinators),NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
number of countries implementing nbsaps,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
numbers of scientific publications on biodiversity,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
relevant research funding,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Funding,NA,GA
taxa assessed for the red list index,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
species with data included in the global biodiversity information facility,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
red list index (birds and mammals),NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
percentage of freshwater key biodiversity areas covered by protected areas,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Area Conservation,NA,GA
marine stewardship council engaged fisheries,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,GA
percentage of marine key biodiversity areas covered by protected areas,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Area Conservation,NA,GA
biochemical oxygen demand (bod),NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
nitrogen (n) loads,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
phosphorus (p) loads,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
total dissolved solids (tds),NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
blue water sustainability index,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,Ecosystem Services,Area Conservation,Nature Contribution,GA
multidimensional poverty index,NA,1,"GA,SUA",1,2,0,2,2,NA,1,NA,Human Assets,NA,Income,NA,"GA,SUA"
individual deprivation measure,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
city biodiversity index,NA,1,"GA,GEO",1,2,0,2,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
co2 emissions,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Climate Change,NA,GA
air quality,NA,1,"GA,GEO",1,2,0,2,1,NA,1,1,Ecosystems,NA,Abiotic Conditions,NA,GA
water quality,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA,GA
passenger and freight volumes by mode of transport,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
migratory birds threatened or near threatened on the red list index,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,Biodiversity,State Of Biodiversity,Species Conservation,GA
fisheries stock size,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
fisheries exploitation rates,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
arctic species trend index,NA,1,"GA,GEO",1,2,0,2,1,NA,1,NA,Biodiversity,NA,Change In Biodiversity,NA,GA
number of countries that have ratified the nagoya protocol,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,SUA
number of countries with regulations requiring recovered of depleted species,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,SUA
share of main groups of species in fish trade in terms of value,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,SUA
importance of forests to people,NA,1,SUA,1,1,0,1,1,NA,1,NA,Human Well-Being,Knowledge Systems,Healthy Living Conditions,Specific Information On Human-Nature Relationship,SUA
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,Knowledge Systems,Specific Information On Ilk And Iplc,Specific Information On Human-Nature Relationship,SUA
recognition and value of forest-management knowledge and skills of local people,NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Ilk And Iplc,NA,SUA
area and percent of forests used for subsistence purposes,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,SUA
resilience of forest-dependent communities,NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,SUA
ecolabel index,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,SUA
quality and abundance of food and medicine species,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Ilk,SUA
habitat quality,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,SUA
harvest intensity,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,SUA
sharing and trading institutions,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,SUA
accessibility of resources,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,SUA
weather patterns,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA,SUA
cultural continuity,NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SUA
abnormal occurrences in the territory,NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,Knowledge Systems,Specific Information On Ilk And Iplc,Specific Information On Human-Nature Relationship,SUA
abundance of food species,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,SUA
catch per unit effort,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,SUA
spatial distribution of species,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,SUA
cyclical patterns of abundance,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,SUA
prevalence of certain species,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,SUA
sounds associated with the forest,NA,1,SUA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Recreation,NA,SUA
intensity of weather,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA,SUA
strength of people’s connection to the forest,NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,SUA
body condition,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,SUA
variability in migration patterns,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Change In Biodiversity,NA,SUA
environmental change,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Change In Ecosystems,NA,SUA
hunting success,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,SUA
prevalence of knowledge about seasonal cycles in their communities,NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Ilk,NA,SUA
mean body mass,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,SUA
abundance of preferred harvest species,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution,SUA
number of publications,NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,SUA
impact of agricultural habitat conversion on birds,NA,1,SUA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Land Conversion,NA,SUA
loss of lichen diversity,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Change In Biodiversity,NA,SUA
farmland bird index,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,SUA
quality of governance index,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Legislation/Governance,NA,SUA
number of cites parties that have adopted standard procedures for non-detrimental findings,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,SUA
number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,NA,1,SUA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,SUA
number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,SUA
uplisting of species or populations from appendix ii to appendix i,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,Biodiversity,Change In Biodiversity,Species Conservation,SUA
number of cites parties with increased capacity,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,SUA
cites parties that have implemented relevant resolutions and decisions,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,SUA
commercial trade in wild-collected specimens,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,SUA
body fat,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,SUA
reproductive success,NA,1,SUA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,SUA
abundance and location of habitat,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,SUA
habitat conditions,NA,1,SUA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,SUA
access to land,NA,1,SUA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Equity,NA,SUA
material wealth,NA,1,SUA,1,1,0,1,1,NA,NA,1,Human Assets,NA,Income,NA,SUA
trade in wild mammals,NA,1,SUA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA,SUA
